sp,chr,loc,score,msp,mchr,mloc
gorilla,2B,78000000,2096,chimp,2B,77000000,same orientation
gorilla,2B,78000000,2024,human,2,182000000,same orientation
human,6,14000000,1844,gorilla,6,14000000,same orientation
chimp,1,50000000,2290,gorilla,1,82000000,inversed
gorilla,11,45000000,1945,chimp,11,9000000,inversed
gorilla,11,45000000,1741,human,11,14000000,inversed
gorilla,1,158000000,1936,human,1,167000000,inversed
gorilla,1,158000000,1850,chimp,1,155000000,inversed
human,10,101000000,2004,chimp,10,94000000,same orientation
human,10,101000000,503,chimp,10,93000000,same orientation
human,21,21000000,2383,chimp,21,20000000,same orientation
human,21,21000000,2096,gorilla,21,22000000,same orientation
human,2,96000000,1818,gorilla,2A,99000000,inversed
human,2,96000000,520,chimp,2A,98000000,inversed
gorilla,22,4000000,573,chimp,22,5000000,inversed
gorilla,22,4000000,523,gorilla,20,24000000,inversed
gorilla,22,4000000,456,human,22,3000000,inversed
gorilla,22,4000000,335,gorilla,12,8000000,inversed
gorilla,22,4000000,335,chimp,22,38000000,inversed
gorilla,22,4000000,296,human,22,7000000,inversed
chimp,3,135000000,2248,human,3,186000000,inversed
human,6,23000000,1800,gorilla,6,23000000,same orientation
human,3,47000000,2353,chimp,3,30000000,inversed
human,3,47000000,2306,gorilla,3,30000000,inversed
gorilla,X,1000000,507,chimp,X,1000000,same orientation
human,21,16000000,2317,chimp,21,15000000,same orientation
human,21,16000000,1989,gorilla,21,17000000,same orientation
gorilla,10,94000000,2323,human,10,78000000,inversed
chimp,12,3000000,1407,gorilla,12,2000000,same orientation
gorilla,3,190000000,1414,chimp,3,189000000,same orientation
gorilla,3,190000000,593,human,3,132000000,same orientation
gorilla,2B,10000000,2130,chimp,2B,13000000,inversed
human,11,37000000,2165,gorilla,11,22000000,inversed
gorilla,4,100000000,2136,human,4,87000000,same orientation
gorilla,5,39000000,1298,human,17,39000000,inversed
gorilla,5,39000000,609,chimp,17,12000000,inversed
gorilla,5,39000000,319,human,17,40000000,inversed
gorilla,5,39000000,303,chimp,17,81000000,inversed
human,15,61000000,2226,chimp,15,60000000,inversed
human,15,61000000,1079,gorilla,15,62000000,inversed
gorilla,17,20000000,2089,human,5,71000000,same orientation
gorilla,17,20000000,2079,chimp,5,23000000,same orientation
gorilla,16,41000000,2066,human,16,37000000,same orientation
gorilla,9,84000000,1975,human,9,84000000,inversed
gorilla,9,84000000,1943,chimp,9,86000000,inversed
human,7,42000000,1849,gorilla,7,42000000,same orientation
human,7,42000000,358,gorilla,7,43000000,same orientation
chimp,X,12000000,1994,human,X,44000000,inversed
chimp,X,12000000,1726,gorilla,X,47000000,inversed
human,1,182000000,2357,chimp,1,194000000,inversed
human,1,182000000,2099,gorilla,1,199000000,inversed
gorilla,5,91000000,2452,human,5,118000000,inversed
chimp,2A,41000000,2436,human,2,33000000,inversed
chimp,2A,41000000,2370,gorilla,2A,33000000,inversed
chimp,8,69000000,1816,human,8,67000000,same orientation
chimp,8,69000000,1573,gorilla,8,69000000,same orientation
chimp,1,165000000,2368,human,1,176000000,same orientation
human,8,139000000,1791,gorilla,8,145000000,inversed
human,8,139000000,870,chimp,8,144000000,inversed
chimp,15,37000000,2143,gorilla,15,38000000,same orientation
human,6,135000000,589,gorilla,6,126000000,same orientation
human,1,149000000,2040,gorilla,1,176000000,inversed
human,1,149000000,1313,chimp,1,172000000,inversed
human,1,149000000,313,chimp,1,228000000,inversed
chimp,17,58000000,1220,gorilla,5,22000000,inversed
human,8,92000000,2130,gorilla,8,94000000,same orientation
chimp,5,22000000,1853,gorilla,17,25000000,same orientation
chimp,5,22000000,1201,human,5,70000000,same orientation
chimp,5,22000000,980,human,5,69000000,same orientation
human,3,24000000,2525,chimp,3,53000000,inversed
human,3,24000000,2357,gorilla,3,53000000,inversed
gorilla,4,40000000,1347,chimp,4,40000000,same orientation
gorilla,4,40000000,1321,human,4,39000000,same orientation
human,22,2000000,943,chimp,17,30000000,same orientation
human,22,2000000,934,human,16,30000000,same orientation
human,22,2000000,926,chimp,2A,90000000,same orientation
human,22,2000000,769,human,16,32000000,same orientation
human,22,2000000,711,human,10,39000000,same orientation
human,22,2000000,664,chimp,16,80000000,same orientation
human,22,2000000,634,chimp,1,124000000,same orientation
human,22,2000000,625,chimp,1,123000000,same orientation
human,22,2000000,572,gorilla,16,33000000,same orientation
chimp,10,28000000,1816,human,10,5000000,same orientation
chimp,7,113000000,2083,gorilla,7,110000000,same orientation
chimp,Y,21000000,1553,human,Y,11000000,same orientation
chimp,2A,22000000,2270,human,2,51000000,inversed
chimp,2A,22000000,1780,gorilla,2A,52000000,inversed
gorilla,X,43000000,2250,chimp,X,175000000,same orientation
human,11,89000000,2141,chimp,11,104000000,same orientation
human,5,119000000,2500,chimp,5,103000000,inversed
human,5,119000000,2228,gorilla,5,90000000,inversed
chimp,4,43000000,2100,human,4,41000000,same orientation
chimp,4,43000000,1931,gorilla,4,42000000,same orientation
chimp,X,71000000,1595,gorilla,X,72000000,inversed
chimp,X,71000000,407,human,X,68000000,inversed
chimp,14,56000000,2243,gorilla,14,55000000,same orientation
gorilla,4,113000000,2504,chimp,4,89000000,inversed
chimp,X,129000000,2200,human,X,120000000,same orientation
chimp,X,129000000,2141,gorilla,X,129000000,same orientation
chimp,14,61000000,2140,gorilla,14,60000000,same orientation
chimp,16,21000000,1370,human,16,26000000,inversed
chimp,2A,0,899,human,2,1000000,inversed
chimp,2A,0,864,gorilla,2A,1000000,inversed
gorilla,1,193000000,1952,human,1,187000000,inversed
gorilla,8,36000000,2119,chimp,8,23000000,inversed
gorilla,8,36000000,2039,human,8,31000000,inversed
chimp,7,106000000,2056,human,7,122000000,inversed
chimp,1,2000000,2027,gorilla,1,3000000,inversed
chimp,12,77000000,1972,gorilla,12,75000000,inversed
gorilla,10,107000000,2086,chimp,10,116000000,inversed
gorilla,10,107000000,2066,human,10,87000000,inversed
chimp,4,9000000,810,gorilla,2A,91000000,same orientation
chimp,4,9000000,758,chimp,2A,90000000,same orientation
human,22,10000000,2247,chimp,22,24000000,inversed
human,2,218000000,2139,chimp,2B,106000000,inversed
human,2,218000000,1719,gorilla,2B,107000000,inversed
human,1,90000000,2488,chimp,1,96000000,same orientation
chimp,5,65000000,1945,human,5,46000000,inversed
chimp,5,65000000,1436,gorilla,17,47000000,inversed
chimp,5,65000000,539,human,7,58000000,inversed
chimp,5,65000000,491,chimp,7,59000000,inversed
chimp,5,65000000,485,chimp,7,207000000,inversed
chimp,5,65000000,473,chimp,11,51000000,inversed
chimp,5,65000000,420,human,11,8000000,inversed
chimp,5,65000000,408,chimp,7,204000000,inversed
chimp,5,65000000,403,chimp,11,49000000,inversed
chimp,3,156000000,2494,human,3,165000000,inversed
chimp,X,77000000,1995,human,X,73000000,same orientation
chimp,X,77000000,1834,gorilla,X,77000000,same orientation
gorilla,11,26000000,1920,human,11,33000000,inversed
gorilla,11,26000000,1772,chimp,11,27000000,inversed
gorilla,4,77000000,2244,human,4,65000000,same orientation
chimp,16,8000000,2057,human,16,7000000,same orientation
chimp,16,8000000,1034,gorilla,16,8000000,same orientation
chimp,16,8000000,839,gorilla,16,7000000,same orientation
chimp,1,33000000,863,gorilla,1,32000000,inversed
gorilla,15,70000000,1908,chimp,15,72000000,inversed
chimp,7,124000000,2215,gorilla,7,121000000,same orientation
chimp,1,152000000,2459,human,1,164000000,same orientation
gorilla,2A,82000000,2181,chimp,2A,82000000,same orientation
gorilla,2A,82000000,2024,human,2,80000000,same orientation
chimp,9,70000000,1834,gorilla,9,79000000,inversed
chimp,9,70000000,443,human,9,2000000,inversed
human,1,192000000,374,gorilla,1,188000000,same orientation
human,1,7000000,2158,chimp,1,7000000,same orientation
human,1,7000000,1730,gorilla,1,7000000,same orientation
human,10,85000000,2287,gorilla,10,109000000,inversed
chimp,13,60000000,400,human,13,58000000,inversed
human,6,76000000,2168,chimp,6,77000000,same orientation
human,6,76000000,1777,gorilla,6,78000000,same orientation
gorilla,9,21000000,2083,human,9,15000000,inversed
gorilla,9,21000000,2063,chimp,9,11000000,inversed
chimp,17,36000000,1361,gorilla,5,63000000,inversed
human,16,58000000,2153,gorilla,16,62000000,same orientation
chimp,3,92000000,1679,gorilla,3,92000000,same orientation
chimp,3,92000000,1195,human,3,90000000,same orientation
human,13,47000000,2561,chimp,13,47000000,same orientation
human,13,47000000,2267,gorilla,13,48000000,same orientation
human,1,127000000,2100,chimp,1,135000000,inversed
human,1,127000000,1683,gorilla,1,139000000,inversed
gorilla,1,62000000,2356,human,1,72000000,inversed
gorilla,1,62000000,2320,chimp,1,70000000,inversed
gorilla,17,75000000,1768,chimp,5,94000000,same orientation
gorilla,17,75000000,400,chimp,5,93000000,same orientation
gorilla,17,75000000,297,human,5,19000000,same orientation
chimp,13,87000000,1952,gorilla,13,87000000,same orientation
human,3,69000000,2167,chimp,3,70000000,same orientation
human,3,69000000,2009,gorilla,3,70000000,same orientation
gorilla,5,34000000,1848,chimp,17,9000000,inversed
gorilla,4,155000000,2054,chimp,4,145000000,same orientation
gorilla,4,155000000,1994,human,4,141000000,same orientation
gorilla,14,67000000,2503,human,14,59000000,inversed
human,12,26000000,2036,gorilla,12,26000000,same orientation
human,12,26000000,1455,chimp,12,61000000,same orientation
human,12,26000000,1162,chimp,12,62000000,same orientation
human,21,9000000,2182,chimp,21,8000000,same orientation
human,21,9000000,1815,gorilla,21,10000000,same orientation
gorilla,16,14000000,1532,human,16,13000000,same orientation
gorilla,16,14000000,1514,chimp,16,13000000,same orientation
gorilla,10,31000000,2337,chimp,10,30000000,inversed
gorilla,10,31000000,2196,human,10,8000000,inversed
gorilla,9,89000000,2343,human,9,79000000,inversed
gorilla,9,89000000,2318,chimp,9,81000000,inversed
chimp,4,72000000,1999,human,4,55000000,inversed
chimp,4,72000000,1741,gorilla,4,66000000,inversed
chimp,2B,96000000,2085,human,2,200000000,same orientation
chimp,2B,96000000,1965,gorilla,2B,96000000,same orientation
chimp,6,110000000,2696,human,6,151000000,inversed
chimp,6,110000000,638,gorilla,6,109000000,inversed
human,11,92000000,2228,gorilla,11,112000000,inversed
human,7,17000000,2036,chimp,7,16000000,same orientation
human,7,17000000,2001,gorilla,7,17000000,same orientation
gorilla,18,72000000,2271,chimp,18,47000000,inversed
gorilla,11,111000000,2196,chimp,11,109000000,inversed
gorilla,11,111000000,2178,human,11,93000000,inversed
human,20,22000000,2058,gorilla,20,22000000,same orientation
chimp,3,149000000,1899,gorilla,3,148000000,same orientation
human,4,119000000,2292,chimp,4,122000000,same orientation
human,4,119000000,2033,gorilla,4,132000000,same orientation
gorilla,3,91000000,1807,human,3,88000000,same orientation
gorilla,3,91000000,1786,chimp,3,90000000,same orientation
human,7,20000000,2139,chimp,7,19000000,same orientation
human,7,20000000,2134,chimp,7,182000000,same orientation
human,7,20000000,1870,gorilla,7,20000000,same orientation
human,10,43000000,956,gorilla,10,58000000,inversed
human,10,43000000,479,chimp,10,135000000,inversed
human,10,43000000,292,chimp,10,47000000,inversed
human,20,15000000,2153,gorilla,20,15000000,same orientation
human,12,114000000,2102,chimp,12,101000000,inversed
human,12,114000000,354,gorilla,12,116000000,inversed
gorilla,X,20000000,2279,chimp,X,38000000,inversed
human,6,65000000,2204,gorilla,6,63000000,inversed
chimp,7,168000000,2558,human,7,86000000,inversed
human,2,158000000,2527,chimp,2B,52000000,same orientation
human,2,158000000,2268,gorilla,2B,53000000,same orientation
human,12,11000000,2268,gorilla,12,11000000,same orientation
chimp,20,24000000,2326,gorilla,20,2000000,inversed
chimp,20,24000000,2037,human,20,2000000,inversed
gorilla,5,105000000,1955,human,5,104000000,inversed
gorilla,5,105000000,344,chimp,5,118000000,inversed
chimp,12,19000000,1774,human,12,12000000,inversed
chimp,12,19000000,1546,gorilla,12,12000000,inversed
gorilla,2A,102000000,2110,human,2,93000000,inversed
chimp,5,108000000,2178,gorilla,5,94000000,same orientation
chimp,3,190000000,2471,human,3,131000000,inversed
gorilla,16,23000000,618,chimp,16,21000000,same orientation
gorilla,16,23000000,336,human,16,56000000,same orientation
gorilla,16,23000000,287,human,16,27000000,same orientation
gorilla,16,23000000,272,chimp,16,80000000,same orientation
human,2,33000000,2290,chimp,2A,41000000,inversed
chimp,15,3000000,2410,human,15,3000000,same orientation
chimp,15,3000000,2316,gorilla,15,3000000,same orientation
gorilla,10,146000000,1709,human,10,127000000,same orientation
gorilla,20,59000000,2002,chimp,20,59000000,same orientation
chimp,7,2000000,1631,human,7,2000000,same orientation
chimp,7,2000000,1527,gorilla,7,2000000,same orientation
gorilla,17,42000000,1708,human,5,51000000,same orientation
gorilla,17,42000000,290,chimp,5,59000000,same orientation
chimp,6,6000000,2500,human,6,20000000,inversed
chimp,6,6000000,2209,gorilla,6,21000000,inversed
gorilla,4,162000000,2040,human,4,148000000,same orientation
gorilla,4,162000000,2004,chimp,4,152000000,same orientation
gorilla,X,88000000,2236,chimp,X,110000000,inversed
gorilla,8,125000000,2218,chimp,8,101000000,inversed
gorilla,22,9000000,1744,chimp,22,8000000,inversed
gorilla,22,9000000,342,human,22,8000000,inversed
chimp,3,138000000,1995,human,3,183000000,inversed
gorilla,11,48000000,2071,chimp,11,6000000,inversed
gorilla,11,48000000,1993,human,11,11000000,inversed
gorilla,1,155000000,2103,human,1,170000000,inversed
gorilla,1,155000000,2011,chimp,1,158000000,inversed
gorilla,11,83000000,2514,human,11,69000000,inversed
human,2,50000000,2665,chimp,2A,23000000,inversed
chimp,14,34000000,1792,human,14,33000000,same orientation
chimp,14,34000000,1527,gorilla,14,33000000,same orientation
human,18,63000000,2379,chimp,18,52000000,inversed
gorilla,X,43000000,2335,chimp,X,16000000,inversed
gorilla,X,43000000,2246,human,X,37000000,inversed
chimp,1,96000000,2245,gorilla,1,99000000,inversed
human,14,76000000,2365,chimp,14,86000000,inversed
human,14,76000000,2142,gorilla,14,86000000,inversed
chimp,4,21000000,2135,human,4,20000000,same orientation
chimp,4,21000000,1694,gorilla,4,20000000,same orientation
gorilla,2A,9000000,1863,human,2,8000000,same orientation
gorilla,2A,9000000,1831,chimp,2A,8000000,same orientation
gorilla,5,43000000,1716,chimp,17,15000000,same orientation
gorilla,X,21000000,2256,human,X,18000000,same orientation
human,10,20000000,2045,chimp,10,16000000,inversed
human,10,20000000,1687,gorilla,10,16000000,inversed
gorilla,X,154000000,432,chimp,X,96000000,inversed
gorilla,X,154000000,404,human,X,94000000,inversed
gorilla,2B,123000000,1672,human,2,226000000,same orientation
gorilla,2B,123000000,1660,chimp,2B,130000000,same orientation
gorilla,2B,123000000,1612,chimp,2B,121000000,same orientation
human,2,215000000,2325,chimp,2B,109000000,inversed
human,2,215000000,2185,gorilla,2B,110000000,inversed
gorilla,4,22000000,2322,human,4,21000000,same orientation
gorilla,4,22000000,2293,chimp,4,22000000,same orientation
chimp,5,40000000,1810,gorilla,5,76000000,same orientation
chimp,5,40000000,482,gorilla,5,75000000,same orientation
gorilla,1,136000000,1989,human,1,130000000,inversed
gorilla,8,93000000,1048,chimp,8,132000000,inversed
gorilla,8,93000000,984,chimp,8,133000000,inversed
gorilla,8,93000000,568,human,8,90000000,inversed
chimp,5,68000000,1727,human,5,43000000,inversed
chimp,5,68000000,1385,gorilla,17,50000000,inversed
chimp,7,171000000,1161,human,7,63000000,same orientation
human,2,206000000,2088,chimp,2B,101000000,same orientation
human,2,206000000,1685,gorilla,2B,102000000,same orientation
human,6,157000000,1803,chimp,6,167000000,same orientation
human,6,157000000,369,gorilla,6,159000000,same orientation
gorilla,9,69000000,2270,human,9,59000000,same orientation
gorilla,4,86000000,2103,chimp,4,53000000,inversed
chimp,1,107000000,2272,human,1,102000000,same orientation
chimp,15,55000000,1651,human,15,54000000,same orientation
chimp,15,55000000,1421,gorilla,15,56000000,same orientation
human,10,88000000,2304,gorilla,10,106000000,inversed
human,6,160000000,2131,chimp,6,161000000,same orientation
chimp,3,9000000,2008,gorilla,3,9000000,same orientation
gorilla,5,57000000,2193,chimp,17,29000000,inversed
gorilla,5,57000000,2115,human,17,25000000,inversed
chimp,1,130000000,2193,gorilla,1,133000000,same orientation
human,8,134000000,2292,gorilla,8,135000000,inversed
human,1,144000000,1678,chimp,1,177000000,inversed
human,1,144000000,1529,gorilla,1,181000000,inversed
human,3,29000000,1960,chimp,3,48000000,inversed
human,3,29000000,1661,gorilla,3,48000000,inversed
gorilla,4,15000000,1674,chimp,4,15000000,same orientation
gorilla,4,15000000,1645,human,4,14000000,same orientation
chimp,5,77000000,1138,human,5,37000000,same orientation
chimp,5,77000000,930,gorilla,17,56000000,same orientation
chimp,5,77000000,408,human,5,35000000,same orientation
chimp,5,77000000,355,gorilla,5,82000000,same orientation
chimp,18,29000000,1700,gorilla,18,32000000,same orientation
gorilla,9,42000000,329,chimp,2A,90000000,inversed
gorilla,9,42000000,300,chimp,9,116000000,inversed
gorilla,9,42000000,289,chimp,9,0,inversed
chimp,X,15000000,2426,human,X,36000000,same orientation
chimp,7,146000000,1971,human,7,139000000,same orientation
chimp,7,146000000,1791,gorilla,7,143000000,same orientation
chimp,11,119000000,2151,human,11,103000000,same orientation
human,2,231000000,1886,gorilla,2B,127000000,same orientation
human,2,231000000,1863,chimp,2B,126000000,same orientation
chimp,2A,105000000,2195,human,2,103000000,same orientation
chimp,2A,105000000,2156,gorilla,2A,107000000,same orientation
chimp,19,48000000,775,chimp,7,59000000,same orientation
chimp,19,48000000,767,human,7,58000000,same orientation
chimp,19,48000000,655,human,11,51000000,same orientation
chimp,19,48000000,653,chimp,11,51000000,same orientation
chimp,19,48000000,652,chimp,7,207000000,same orientation
chimp,19,48000000,633,gorilla,11,51000000,same orientation
chimp,19,48000000,628,chimp,10,40000000,same orientation
chimp,19,48000000,589,human,19,24000000,same orientation
chimp,19,48000000,582,human,5,46000000,same orientation
chimp,4,16000000,2193,human,4,15000000,same orientation
chimp,4,16000000,2047,gorilla,4,15000000,same orientation
gorilla,5,74000000,2123,human,5,85000000,same orientation
gorilla,5,74000000,1861,chimp,5,37000000,same orientation
gorilla,5,74000000,294,chimp,5,38000000,same orientation
gorilla,X,16000000,1956,human,X,13000000,same orientation
human,5,114000000,2406,chimp,5,108000000,inversed
human,5,114000000,2267,gorilla,5,95000000,inversed
gorilla,2B,114000000,2173,chimp,2B,112000000,same orientation
human,6,7000000,2201,gorilla,6,7000000,same orientation
chimp,11,8000000,2336,human,11,13000000,same orientation
chimp,6,173000000,2490,human,6,55000000,inversed
human,3,81000000,2346,chimp,3,80000000,inversed
human,3,81000000,289,gorilla,17,70000000,inversed
human,3,81000000,273,human,5,23000000,inversed
human,3,81000000,267,human,X,55000000,inversed
human,3,81000000,259,chimp,16,42000000,inversed
gorilla,10,52000000,2593,gorilla,7,59000000,inversed
gorilla,10,52000000,1608,gorilla,19,24000000,inversed
gorilla,10,52000000,967,gorilla,2A,24000000,inversed
gorilla,10,52000000,954,gorilla,15,0,inversed
gorilla,10,52000000,949,gorilla,5,141000000,inversed
gorilla,10,52000000,933,gorilla,15,55000000,inversed
gorilla,10,52000000,898,gorilla,X,13000000,inversed
human,1,206000000,312,gorilla,1,215000000,inversed
gorilla,2A,29000000,2183,chimp,2A,45000000,inversed
gorilla,15,0,1883,gorilla,20,27000000,inversed
gorilla,15,0,1860,gorilla,X,59000000,inversed
gorilla,15,0,1803,gorilla,9,46000000,inversed
gorilla,15,0,1791,gorilla,2A,92000000,inversed
gorilla,15,0,1636,chimp,5,64000000,inversed
gorilla,15,0,1629,gorilla,7,59000000,inversed
gorilla,15,0,1598,gorilla,9,48000000,inversed
gorilla,15,0,1585,gorilla,18,16000000,inversed
gorilla,15,0,1486,chimp,8,43000000,inversed
gorilla,15,0,1464,gorilla,9,49000000,inversed
chimp,10,100000000,1701,human,10,106000000,same orientation
human,X,11000000,2238,gorilla,X,13000000,same orientation
human,16,58000000,2646,chimp,16,60000000,inversed
chimp,18,17000000,2116,human,18,39000000,inversed
human,X,45000000,2282,chimp,X,11000000,inversed
human,5,73000000,2531,chimp,5,25000000,same orientation
human,5,73000000,2259,gorilla,17,19000000,same orientation
human,3,187000000,2186,gorilla,3,133000000,inversed
human,3,187000000,2103,chimp,3,134000000,inversed
chimp,12,2000000,2528,human,12,3000000,inversed
chimp,10,82000000,1876,gorilla,10,96000000,same orientation
gorilla,14,70000000,1850,chimp,14,70000000,same orientation
human,10,42000000,1726,gorilla,10,56000000,same orientation
human,8,38000000,2126,chimp,8,19000000,same orientation
chimp,5,88000000,2199,human,5,26000000,same orientation
chimp,5,88000000,2103,gorilla,17,67000000,same orientation
human,8,95000000,2220,chimp,8,128000000,inversed
gorilla,15,11000000,2450,chimp,15,9000000,same orientation
chimp,2A,93000000,317,gorilla,11,87000000,same orientation
human,9,59000000,1812,gorilla,9,68000000,same orientation
human,11,23000000,2178,chimp,11,17000000,same orientation
gorilla,17,53000000,2162,chimp,5,70000000,inversed
human,4,80000000,2342,chimp,4,47000000,inversed
chimp,3,10000000,2356,human,3,0,inversed
human,X,143000000,2228,chimp,X,179000000,same orientation
human,X,143000000,1829,gorilla,X,153000000,same orientation
gorilla,7,135000000,2184,chimp,7,137000000,same orientation
gorilla,7,135000000,2139,human,7,130000000,same orientation
human,4,12000000,2313,chimp,4,12000000,same orientation
human,4,12000000,2066,gorilla,4,12000000,same orientation
human,5,51000000,2515,chimp,5,59000000,inversed
chimp,1,130000000,2515,human,1,132000000,inversed
chimp,9,95000000,2168,gorilla,9,102000000,same orientation
chimp,6,97000000,1757,human,6,102000000,inversed
gorilla,7,102000000,2021,chimp,7,105000000,same orientation
human,4,25000000,1800,gorilla,4,25000000,same orientation
human,4,25000000,1677,chimp,4,26000000,same orientation
chimp,8,140000000,1438,human,8,83000000,inversed
chimp,8,140000000,1164,gorilla,8,85000000,inversed
gorilla,15,26000000,1594,chimp,15,24000000,same orientation
human,19,40000000,2224,gorilla,19,40000000,same orientation
human,13,77000000,2145,chimp,13,84000000,inversed
human,13,77000000,1888,gorilla,13,85000000,inversed
human,11,14000000,1820,chimp,11,8000000,same orientation
human,17,21000000,2092,chimp,17,31000000,inversed
human,17,21000000,1338,gorilla,5,57000000,inversed
human,17,21000000,744,chimp,17,32000000,inversed
gorilla,14,47000000,2099,chimp,14,47000000,same orientation
chimp,11,85000000,2487,human,11,67000000,inversed
gorilla,X,138000000,2043,human,X,128000000,same orientation
gorilla,X,138000000,2027,chimp,X,137000000,same orientation
chimp,1,198000000,2277,human,1,178000000,inversed
human,10,75000000,2077,chimp,10,67000000,same orientation
chimp,10,131000000,2070,human,10,127000000,inversed
chimp,10,131000000,1766,gorilla,10,146000000,inversed
chimp,5,160000000,1554,gorilla,5,138000000,inversed
human,1,138000000,2398,chimp,1,170000000,same orientation
chimp,6,168000000,2065,human,6,157000000,same orientation
gorilla,11,58000000,2001,human,11,57000000,same orientation
human,6,107000000,2341,gorilla,6,155000000,inversed
gorilla,9,96000000,2344,chimp,9,88000000,same orientation
human,X,26000000,2267,gorilla,X,28000000,same orientation
chimp,X,152000000,2251,human,X,142000000,inversed
chimp,X,152000000,2103,gorilla,X,152000000,inversed
human,5,44000000,1993,gorilla,17,49000000,same orientation
gorilla,2A,28000000,1841,human,2,27000000,same orientation
gorilla,3,59000000,1744,chimp,3,58000000,same orientation
human,17,42000000,2554,chimp,17,9000000,inversed
chimp,3,181000000,2163,gorilla,3,181000000,same orientation
human,15,7000000,2191,chimp,15,6000000,same orientation
human,15,7000000,2070,gorilla,15,7000000,same orientation
human,9,27000000,2423,gorilla,9,9000000,inversed
chimp,4,111000000,2713,human,4,46000000,same orientation
chimp,4,111000000,2594,gorilla,4,47000000,same orientation
human,21,29000000,2025,chimp,21,28000000,inversed
human,21,29000000,1854,gorilla,21,30000000,inversed
chimp,17,31000000,1011,chimp,6,175000000,same orientation
chimp,17,31000000,902,chimp,X,58000000,same orientation
chimp,17,31000000,888,gorilla,5,57000000,same orientation
chimp,17,31000000,830,chimp,11,50000000,same orientation
chimp,17,31000000,802,gorilla,X,59000000,same orientation
chimp,17,31000000,757,chimp,11,49000000,same orientation
chimp,17,31000000,665,gorilla,7,59000000,same orientation
chimp,17,31000000,582,human,11,50000000,same orientation
chimp,17,31000000,491,gorilla,10,43000000,same orientation
human,2,134000000,2364,chimp,2B,25000000,inversed
human,2,134000000,2321,gorilla,2B,26000000,inversed
human,5,137000000,2455,chimp,5,162000000,same orientation
chimp,15,18000000,2255,gorilla,15,17000000,inversed
chimp,8,123000000,2423,human,8,100000000,inversed
chimp,8,123000000,2012,gorilla,8,103000000,inversed
human,9,5000000,1692,gorilla,9,31000000,inversed
human,1,64000000,2579,gorilla,1,70000000,inversed
gorilla,6,46000000,2034,chimp,6,45000000,same orientation
chimp,1,153000000,1738,gorilla,1,160000000,inversed
chimp,7,24000000,2398,human,7,24000000,same orientation
chimp,7,24000000,2315,gorilla,7,25000000,same orientation
human,5,32000000,2161,chimp,5,79000000,inversed
human,6,164000000,1534,gorilla,6,161000000,inversed
chimp,6,45000000,1960,gorilla,6,45000000,same orientation
gorilla,7,27000000,1878,chimp,7,25000000,same orientation
gorilla,7,27000000,1824,human,7,26000000,same orientation
gorilla,12,102000000,2384,human,12,79000000,inversed
gorilla,12,102000000,2279,chimp,12,115000000,inversed
chimp,5,103000000,1844,human,5,119000000,inversed
chimp,5,103000000,266,gorilla,5,89000000,inversed
gorilla,20,22000000,2131,chimp,20,4000000,inversed
chimp,16,50000000,2107,human,16,48000000,same orientation
chimp,16,50000000,2019,gorilla,16,52000000,same orientation
