,sp,chr,loc,scr,ms,mc,ml,orientation
1148,gorilla,12,59000000,1383.5068,human,12,69000000,same
1167,gorilla,1,99000000,1576.7013,human,1,89000000,same
1176,gorilla,4,86000000,1479.2507,chimp,4,53000000,same
1186,gorilla,11,94000000,1721.2361,chimp,11,126000000,same
1190,gorilla,5,125000000,1740.2015,chimp,5,173000000,same
1194,gorilla,3,153000000,1793.6512,human,3,168000000,same
1234,gorilla,21,2000000,1343.7953,chimp,18,0,same
1238,gorilla,3,35000000,1697.0096,human,3,42000000,same
1239,gorilla,3,164000000,1589.0942,human,3,157000000,same
1257,gorilla,5,112000000,1721.029,human,5,97000000,same
1277,gorilla,16,45000000,1797.3176,chimp,16,32000000,same
1285,gorilla,9,98000000,1570.5286,human,9,70000000,same
1290,gorilla,7,109000000,1748.1732,human,7,117000000,same
1293,gorilla,2A,103000000,1753.1133,human,2,92000000,same
1301,gorilla,11,128000000,1199.905,chimp,11,92000000,same
1304,gorilla,16,72000000,1697.1951,human,16,65000000,same
1308,gorilla,1,148000000,1936.9705,human,1,177000000,same
1313,gorilla,17,13000000,282.99362,human,16,44000000,same
1316,gorilla,22,9000000,1657.6704,chimp,22,8000000,same
1320,gorilla,X,104000000,1341.7014,chimp,X,94000000,same
1326,gorilla,5,85000000,1593.4078,human,5,124000000,same
1341,gorilla,10,97000000,1696.3418,human,10,76000000,same
1350,gorilla,3,60000000,1637.8754,human,3,18000000,same
1354,gorilla,3,131000000,1576.3986,human,3,189000000,same
1359,gorilla,9,5000000,1929.7905,chimp,9,27000000,same
1368,gorilla,5,147000000,1155.943,human,5,163000000,same
1377,gorilla,6,48000000,1497.3359,human,6,50000000,same
1386,gorilla,3,57000000,1865.4551,human,3,20000000,same
1387,gorilla,3,106000000,1487.8306,human,3,109000000,same
1422,gorilla,15,40000000,2099.6145,human,15,34000000,same
1448,gorilla,15,77000000,1663.9453,human,15,71000000,same
1464,gorilla,6,80000000,1047.8945,human,10,11000000,same
1473,gorilla,13,92000000,1650.9656,human,13,70000000,same
1479,gorilla,10,131000000,1535.9504,human,10,100000000,same
1482,gorilla,6,127000000,1565.2983,human,6,134000000,same
1484,gorilla,4,200000000,279.26453,human,X,57000000,same
1486,gorilla,8,31000000,1359.0468,chimp,8,28000000,same
1491,gorilla,X,18000000,1872.2878,chimp,X,40000000,same
1517,gorilla,3,2000000,1548.003,human,3,8000000,same
1518,gorilla,1,180000000,1291.0227,human,1,145000000,same
1521,gorilla,6,110000000,1783.5605,human,6,151000000,same
1522,gorilla,1,33000000,1596.3832,chimp,1,32000000,same
1534,gorilla,18,69000000,1739.3074,chimp,18,50000000,same
1539,gorilla,9,101000000,1678.2406,human,9,92000000,same
1549,gorilla,15,22000000,1522.727,chimp,15,13000000,same
1588,gorilla,14,74000000,1561.5253,human,14,52000000,same
1594,gorilla,15,15000000,1665.5577,chimp,15,20000000,same
1602,gorilla,7,83000000,1395.6803,human,7,91000000,same
1608,gorilla,5,18000000,1368.4299,chimp,17,71000000,same
1609,gorilla,12,91000000,1564.8903,human,12,90000000,same
1610,gorilla,2A,5000000,1018.53265,human,2,3000000,same
1623,gorilla,9,32000000,1259.193,human,9,4000000,same
1625,gorilla,1,66000000,2022.2809,chimp,1,66000000,same
1630,gorilla,4,79000000,1220.6232,chimp,4,60000000,same
1642,gorilla,11,7000000,1662.6757,chimp,11,46000000,same
1646,gorilla,1,51000000,1770.3308,chimp,1,81000000,same
1657,gorilla,4,2000000,1300.0554,chimp,4,2000000,same
1673,gorilla,8,104000000,1698.0294,chimp,8,122000000,same
1686,gorilla,7,57000000,403.32822000000004,chimp,7,58000000,same
1700,gorilla,3,29000000,1354.0695,human,3,48000000,same
1703,gorilla,3,178000000,1570.7766,human,3,143000000,same
1726,gorilla,11,88000000,1463.1085,human,11,116000000,same
1730,gorilla,5,139000000,1734.8251,human,5,134000000,same
1740,gorilla,7,60000000,2390.8162,chimp,7,59000000,same
1749,gorilla,8,133000000,1903.2185,human,8,128000000,same
1758,gorilla,X,99000000,1393.6775,chimp,X,99000000,same
1763,gorilla,12,72000000,1461.8759,human,12,57000000,same
1765,gorilla,7,140000000,1638.3127,chimp,7,179000000,same
1776,gorilla,1,85000000,1424.9489,human,1,49000000,same
1780,gorilla,1,136000000,1760.309,human,1,130000000,same
1784,gorilla,1,101000000,1863.3434,human,1,87000000,same
1790,gorilla,13,24000000,1627.5168,human,13,20000000,same
1794,gorilla,2B,35000000,1996.9625,human,2,125000000,same
1801,gorilla,8,87000000,1654.8082,chimp,8,138000000,same
1821,gorilla,6,54000000,1704.6296,human,6,44000000,same
1871,gorilla,6,63000000,1265.1068,human,6,65000000,same
1885,gorilla,1,154000000,1527.5359,chimp,1,159000000,same
1890,gorilla,7,122000000,1702.1188,human,7,104000000,same
1891,gorilla,13,71000000,1697.4539,human,13,91000000,same
1898,gorilla,5,99000000,1825.8792,human,5,110000000,same
1903,gorilla,20,14000000,1446.9862,chimp,20,12000000,same
1908,gorilla,17,38000000,1711.7792,chimp,5,54000000,same
1910,gorilla,20,23000000,1699.0942,chimp,20,3000000,same
1924,gorilla,7,115000000,1003.2433,human,7,111000000,same
1926,gorilla,13,46000000,1549.8851,chimp,13,39000000,same
1930,gorilla,11,103000000,1440.9015,human,11,101000000,same
1934,gorilla,1,163000000,1803.2367,chimp,1,150000000,same
1938,gorilla,9,84000000,1376.7738,human,9,84000000,same
1951,gorilla,X,33000000,1437.2954,chimp,X,26000000,same
1955,gorilla,5,51000000,1710.951,chimp,17,23000000,same
1966,gorilla,6,1000000,1527.5721,human,6,2000000,same
1980,gorilla,1,18000000,373.94147000000004,human,6,10000000,same
2019,gorilla,18,20000000,1609.2662,human,18,39000000,same
2025,gorilla,11,15000000,1617.4177,chimp,11,38000000,same
2033,gorilla,19,41000000,1516.0684,chimp,19,31000000,same
2038,gorilla,3,83000000,1477.5889,chimp,3,80000000,same
2054,gorilla,11,22000000,1268.8856,human,11,37000000,same
2056,gorilla,2A,52000000,1512.0009,chimp,2A,22000000,same
2078,gorilla,9,19000000,1668.3042,chimp,9,13000000,same
2093,gorilla,5,33000000,1950.8328,chimp,17,48000000,same
2095,gorilla,X,51000000,2160.79,human,X,49000000,same
2102,gorilla,1,1000000,1622.6543,chimp,1,0,same
2106,gorilla,8,78000000,1365.7765,human,8,79000000,same
2115,gorilla,17,92000000,1591.9056,chimp,5,17000000,same
2126,gorilla,4,65000000,1488.1844,chimp,4,73000000,same
2142,gorilla,18,0,1265.8728,human,9,110000000,same
2144,gorilla,6,159000000,1354.4546,chimp,6,168000000,same
2146,gorilla,4,120000000,1847.4797,chimp,4,82000000,same
2153,gorilla,14,68000000,1496.101,human,14,58000000,same
2157,gorilla,11,77000000,1604.5701,human,11,75000000,same
2163,gorilla,10,16000000,1710.1792,human,10,20000000,same
2164,gorilla,18,42000000,1803.7488,human,18,17000000,same
2175,gorilla,22,12000000,1750.4545,chimp,22,23000000,same
2180,gorilla,22,25000000,1220.3661,chimp,22,10000000,same
2186,gorilla,18,75000000,1386.7728,chimp,18,44000000,same
2190,gorilla,2A,30000000,1932.3110000000001,chimp,2A,44000000,same
2192,gorilla,11,40000000,1390.8832,chimp,11,14000000,same
2194,gorilla,19,14000000,1386.2731,chimp,19,9000000,same
2199,gorilla,4,117000000,1743.8845,chimp,4,85000000,same
2201,gorilla,12,101000000,1385.4606,chimp,12,116000000,same
2204,gorilla,3,187000000,1571.6167,human,3,135000000,same
2217,gorilla,16,2000000,954.4257,chimp,16,1000000,same
2219,gorilla,5,48000000,1539.4863,chimp,17,21000000,same
2228,gorilla,10,103000000,1366.3572,chimp,10,120000000,same
2231,gorilla,3,7000000,1117.4492,human,3,3000000,same
2233,gorilla,1,185000000,2249.474,human,1,140000000,same
2237,gorilla,6,115000000,1689.6262,human,6,146000000,same
2240,gorilla,1,36000000,1823.5039,chimp,1,29000000,same
2241,gorilla,10,134000000,1554.1693,chimp,10,90000000,same
2247,gorilla,6,122000000,1687.4419,human,6,139000000,same
2254,gorilla,13,97000000,2031.1473,chimp,13,97000000,same
2268,gorilla,8,34000000,1275.3309,human,8,33000000,same
2278,gorilla,15,72000000,1969.7458,chimp,15,70000000,same
2296,gorilla,18,39000000,1597.7839999999999,human,18,20000000,same
2349,gorilla,11,2000000,1272.1842,chimp,11,2000000,same
2352,gorilla,20,0,1284.1908,chimp,20,26000000,same
2356,gorilla,1,54000000,1979.2163,chimp,1,77000000,same
2365,gorilla,4,7000000,1597.3413,chimp,4,6000000,same
2367,gorilla,X,48000000,1814.2715,chimp,X,11000000,same
2370,gorilla,8,61000000,1551.378,human,8,59000000,same
2376,gorilla,8,56000000,268.8525,chimp,X,54000000,same
2378,gorilla,12,94000000,1345.6045,human,12,87000000,same
2395,gorilla,9,37000000,1324.4637,human,9,38000000,same
2397,gorilla,1,63000000,1934.3937,chimp,1,69000000,same
2399,gorilla,6,140000000,1275.8313,human,6,121000000,same
2400,gorilla,4,139000000,267.4315,chimp,X,54000000,same
2407,gorilla,14,71000000,1686.8549,human,14,55000000,same
2418,gorilla,7,86000000,1222.8446,human,7,88000000,same
2423,gorilla,15,9000000,266.68433,chimp,3,42000000,same
2436,gorilla,15,10000000,1421.4933,human,15,8000000,same
2443,gorilla,15,27000000,1566.5764,human,15,46000000,same
2446,gorilla,10,38000000,1629.787,human,10,34000000,same
2457,gorilla,2A,29000000,1870.2302,chimp,2A,45000000,same
2459,gorilla,11,59000000,1709.9615,chimp,11,58000000,same
2473,gorilla,12,118000000,1217.2303,chimp,12,99000000,same
2501,gorilla,5,117000000,1400.1016,human,5,92000000,same
2503,gorilla,3,161000000,1611.8853,human,3,160000000,same
2506,gorilla,3,30000000,1689.352,human,3,47000000,same
2516,gorilla,3,156000000,1607.6864,human,3,165000000,same
2528,gorilla,11,91000000,1271.3124,chimp,11,129000000,same
2529,gorilla,6,18000000,1288.5306,chimp,6,9000000,same
2530,gorilla,5,120000000,1691.5293,human,5,89000000,same
2550,gorilla,17,74000000,1481.6051,human,5,19000000,same
2569,gorilla,4,83000000,1728.4762,chimp,4,56000000,same
2610,gorilla,20,58000000,1977.5891,human,20,55000000,same
2612,gorilla,17,43000000,1502.7631,chimp,5,60000000,same
2614,gorilla,X,154000000,1451.164,human,X,94000000,same
2618,gorilla,1,224000000,1717.5737,human,1,216000000,same
2621,gorilla,3,103000000,1084.0695,human,3,112000000,same
2623,gorilla,3,52000000,1527.2985,human,3,25000000,same
2669,gorilla,10,92000000,1847.8766,chimp,10,72000000,same
2677,gorilla,5,142000000,1497.7037,chimp,5,156000000,same
2685,gorilla,3,134000000,2087.0642,human,3,186000000,same
2686,gorilla,3,65000000,1858.0691,human,3,13000000,same
2695,gorilla,X,6000000,308.4372600000001,human,Y,11000000,same
2703,gorilla,13,68000000,272.18396,human,13,66000000,same
2709,gorilla,5,80000000,1834.6042,human,5,129000000,same
2715,gorilla,17,16000000,1579.7192,chimp,17,38000000,same
2718,gorilla,X,101000000,1507.1642,human,X,92000000,same
2739,gorilla,16,40000000,1934.9703,chimp,16,37000000,same
2747,gorilla,11,27000000,1679.7823,human,11,32000000,same
2750,gorilla,2A,57000000,1809.9579,chimp,2A,17000000,same
2758,gorilla,4,170000000,270.0071,chimp,X,54000000,same
2767,gorilla,15,59000000,1142.9856,chimp,15,59000000,same
2784,gorilla,18,25000000,1588.1399,human,18,34000000,same
2794,gorilla,3,86000000,1702.4121,chimp,3,77000000,same
2799,gorilla,6,99000000,1633.2881,human,6,99000000,same
2802,gorilla,11,10000000,1344.763,chimp,11,43000000,same
2803,gorilla,2A,60000000,1928.0669,chimp,2A,14000000,same
2806,gorilla,19,44000000,1411.1182,chimp,19,28000000,same
2814,gorilla,10,128000000,1455.3651,chimp,10,96000000,same
2817,gorilla,9,49000000,1781.9672,chimp,9,117000000,same
2826,gorilla,8,28000000,1703.6147,chimp,8,31000000,same
2834,gorilla,5,63000000,2036.8279,human,17,17000000,same
2838,gorilla,X,0,562.8829,chimp,7,102000000,same
2844,gorilla,X,36000000,1778.5529,chimp,X,23000000,same
2846,gorilla,5,54000000,1644.7688,chimp,17,27000000,same
2863,gorilla,1,199000000,1478.3468,human,1,182000000,same
2865,gorilla,6,109000000,1227.9591,human,6,152000000,same
2872,gorilla,6,4000000,1614.3024,chimp,6,23000000,same
2873,gorilla,4,35000000,253.19566,human,4,34000000,same
2881,gorilla,10,24000000,1702.6652,human,10,15000000,same
2883,gorilla,9,118000000,264.21407999999997,chimp,1,2000000,same
2885,gorilla,18,70000000,1461.6719,chimp,18,49000000,same
2892,gorilla,22,20000000,2009.0858,chimp,22,15000000,same
2896,gorilla,4,112000000,1594.1945,chimp,4,90000000,same
2899,gorilla,2B,118000000,1745.2772,human,2,220000000,same
2901,gorilla,12,104000000,1878.9945,human,12,77000000,same
2904,gorilla,3,182000000,1481.9617,human,3,139000000,same
2905,gorilla,2A,35000000,1565.0797,chimp,2A,39000000,same
2907,gorilla,11,45000000,1804.1989999999998,human,11,14000000,same
2911,gorilla,19,11000000,1598.7395,chimp,19,12000000,same
2919,gorilla,11,72000000,1809.2692,human,11,80000000,same
2921,gorilla,19,26000000,1641.1986,chimp,19,46000000,same
2929,gorilla,12,133000000,1611.0642,human,12,130000000,same
2939,gorilla,22,17000000,1639.5604,chimp,22,35000000,same
2945,gorilla,10,13000000,1387.9160000000006,chimp,10,15000000,same
2947,gorilla,18,47000000,1715.4979999999994,chimp,18,72000000,same
2950,gorilla,12,88000000,1620.5753,human,12,93000000,same
2973,gorilla,4,60000000,1951.0812,chimp,4,78000000,same
2992,gorilla,1,48000000,1221.8234,human,1,45000000,same
2996,gorilla,1,4000000,1156.4501,human,1,2000000,same
3021,gorilla,13,21000000,1887.4820000000002,human,13,23000000,same
3028,gorilla,1,104000000,1651.5723,chimp,1,91000000,same
3032,gorilla,X,148000000,2012.1529999999998,chimp,X,149000000,same
3034,gorilla,8,82000000,1454.481,human,8,75000000,same
3038,gorilla,2B,30000000,1622.6151,human,2,130000000,same
3047,gorilla,12,77000000,1348.1368,chimp,12,75000000,same
3055,gorilla,1,80000000,1147.7089,chimp,1,52000000,same
3059,gorilla,1,133000000,278.06732,human,6,150000000,same
3090,gorilla,8,136000000,1671.2717,human,8,133000000,same
3105,gorilla,7,65000000,1355.8324,human,7,69000000,same
3126,gorilla,8,101000000,1708.8251,chimp,8,125000000,same
3156,gorilla,8,8000000,1320.0503,human,8,10000000,same
3157,gorilla,2B,52000000,270.72073,chimp,2B,51000000,same
3159,gorilla,20,26000000,1564.3848,chimp,20,0,same
3169,gorilla,1,166000000,1504.4353,human,1,159000000,same
3174,gorilla,9,81000000,1951.5519,human,9,87000000,same
3178,gorilla,7,110000000,1732.7056,human,7,116000000,same
3180,gorilla,13,43000000,1675.3309,chimp,13,42000000,same
3181,gorilla,11,106000000,1670.3829999999994,chimp,11,114000000,same
3185,gorilla,7,127000000,1615.5035,human,7,99000000,same
3186,gorilla,13,74000000,1664.5532,human,13,88000000,same
3188,gorilla,11,131000000,1725.411,chimp,11,89000000,same
3198,gorilla,20,11000000,1825.6965,chimp,20,15000000,same
3203,gorilla,12,15000000,1729.5414,chimp,12,16000000,same
3212,gorilla,19,6000000,1748.5802,human,19,4000000,same
3240,gorilla,3,79000000,1750.0496,chimp,3,84000000,same
3252,gorilla,6,66000000,1475.4656,human,6,62000000,same
3263,gorilla,6,51000000,1672.7306,human,6,47000000,same
3286,gorilla,7,30000000,1340.8152,chimp,7,29000000,same
3290,gorilla,1,229000000,776.12537,chimp,1,225000000,same
3328,gorilla,8,145000000,1781.3005,human,8,139000000,same
3332,gorilla,15,80000000,1465.7825,chimp,15,79000000,same
3367,gorilla,3,139000000,975.0175,human,3,181000000,same
3373,gorilla,1,140000000,1605.8558,human,1,126000000,same
3376,gorilla,7,136000000,490.48357999999996,human,X,67000000,same
3382,gorilla,11,120000000,1697.8566,human,11,121000000,same
3392,gorilla,22,1000000,1902.0781,human,22,1000000,same
3404,gorilla,12,33000000,1773.7074,human,12,33000000,same
3409,gorilla,7,101000000,1654.8304,human,7,124000000,same
3411,gorilla,18,3000000,1727.8185,chimp,18,12000000,same
3414,gorilla,11,117000000,1898.7837,chimp,11,103000000,same
3421,gorilla,1,177000000,1565.507,human,1,148000000,same
3424,gorilla,9,90000000,1618.3083,human,9,78000000,same
3433,gorilla,8,110000000,1493.9409,chimp,8,116000000,same
3448,gorilla,7,43000000,1815.3772,chimp,7,40000000,same
3459,gorilla,6,22000000,1243.4923,chimp,6,5000000,same
3477,gorilla,14,83000000,2278.988,human,14,79000000,same
3493,gorilla,6,15000000,1996.3007,chimp,6,12000000,same
3506,gorilla,7,74000000,1855.3065,chimp,7,73000000,same
3515,gorilla,8,127000000,1620.7799,chimp,8,99000000,same
3519,gorilla,17,79000000,1767.986,chimp,5,5000000,same
3522,gorilla,20,62000000,1973.5117,chimp,20,62000000,same
3528,gorilla,2B,16000000,1657.8993,human,2,120000000,same
3531,gorilla,12,66000000,1714.5189,human,12,63000000,same
3533,gorilla,7,154000000,1992.9219,human,7,152000000,same
3544,gorilla,16,18000000,1727.2472,human,16,16000000,same
3546,gorilla,1,91000000,1450.1606,human,1,97000000,same
3553,gorilla,1,115000000,1770.8014,chimp,1,121000000,same
3564,gorilla,2B,21000000,1690.8013,human,2,139000000,same
3574,gorilla,8,93000000,1802.2662,chimp,8,133000000,same
3580,gorilla,1,59000000,1759.3528,human,1,74000000,same
3592,gorilla,5,27000000,1668.4575,chimp,17,43000000,same
3595,gorilla,X,45000000,1582.6791,human,X,35000000,same
3613,gorilla,17,86000000,1831.76,chimp,5,11000000,same
3619,gorilla,5,10000000,1663.8052,human,17,61000000,same
3620,gorilla,12,99000000,1343.0948,chimp,12,118000000,same
3621,gorilla,X,72000000,1535.6461,chimp,X,71000000,same
3629,gorilla,4,71000000,1326.7274,chimp,4,67000000,same
3647,gorilla,12,122000000,1496.7516,chimp,12,95000000,same
3657,gorilla,11,63000000,1225.2773,human,11,63000000,same
3665,gorilla,18,56000000,1310.3489,chimp,18,63000000,same
3682,gorilla,10,35000000,1847.3649,human,10,37000000,same
3684,gorilla,18,61000000,1496.0642,chimp,18,58000000,same
3691,gorilla,2A,24000000,2044.9379999999999,chimp,2A,50000000,same
3702,gorilla,4,103000000,1628.2992,chimp,4,99000000,same
3705,gorilla,12,115000000,1760.6051,chimp,12,102000000,same
3707,gorilla,2B,109000000,1783.7651,human,2,216000000,same
3710,gorilla,3,193000000,1769.5856,human,3,129000000,same
3720,gorilla,X,27000000,1494.4785,chimp,X,31000000,same
3727,gorilla,5,45000000,1962.5085,human,17,34000000,same
3743,gorilla,1,188000000,1843.8164,human,1,192000000,same
3744,gorilla,6,118000000,1577.8827,human,6,143000000,same
3752,gorilla,10,139000000,1929.2487,chimp,10,130000000,same
3769,gorilla,X,10000000,1874.3987,chimp,X,48000000,same
3777,gorilla,8,39000000,1545.2834,human,8,28000000,same
3791,gorilla,7,1000000,1520.4811,chimp,7,212000000,same
3792,gorilla,18,34000000,1845.4708,human,18,25000000,same
3804,gorilla,19,55000000,1820.365,human,19,53000000,same
3809,gorilla,3,97000000,1560.9226,human,3,91000000,same
3811,gorilla,12,4000000,1886.8203,human,12,1000000,same
