,sp,chr,loc,scr,ms,mc,ml,orientation
394,human,2,111000000,1553.7601,gorilla,2B,2000000,same
405,human,X,41000000,1795.8445,gorilla,X,39000000,same
422,human,8,2000000,1394.0232,chimp,8,2000000,same
475,human,3,93000000,1429.6807,gorilla,3,95000000,same
479,human,11,65000000,1645.4545,chimp,11,61000000,same
488,human,19,31000000,1600.1073,chimp,19,41000000,same
502,human,X,14000000,1111.8544,chimp,X,42000000,same
511,human,10,112000000,1643.5687,gorilla,10,118000000,same
516,human,18,50000000,1789.2725,chimp,18,65000000,same
517,human,10,33000000,1618.6686,gorilla,10,39000000,same
524,human,10,125000000,1723.1263,chimp,10,125000000,same
530,human,18,67000000,1775.7468,chimp,18,48000000,same
532,human,5,41000000,1901.3047,chimp,5,70000000,same
538,human,X,23000000,1472.902,chimp,X,155000000,same
550,human,4,105000000,2077.3555,chimp,4,84000000,same
552,human,3,195000000,1536.651,chimp,3,199000000,same
567,human,16,35000000,1411.3812,gorilla,16,39000000,same
572,human,6,58000000,1487.7051,chimp,3,92000000,same
577,human,3,47000000,1550.6278,chimp,3,30000000,same
583,human,2,26000000,1498.6063,chimp,2A,48000000,same
591,human,17,54000000,1929.8939,gorilla,5,21000000,same
596,human,X,143000000,2090.9236,chimp,X,151000000,same
597,human,17,63000000,1675.9456,gorilla,5,11000000,same
619,human,1,138000000,1680.3474,gorilla,1,142000000,same
625,human,3,141000000,1585.6298,chimp,3,180000000,same
636,human,7,6000000,1232.952,gorilla,7,6000000,same
643,human,5,137000000,1749.8918,gorilla,5,136000000,same
644,human,11,86000000,1655.2666,gorilla,11,118000000,same
653,human,11,117000000,1835.0386,gorilla,11,124000000,same
662,human,5,95000000,1427.7345,chimp,5,128000000,same
666,human,11,120000000,1601.931,gorilla,11,121000000,same
696,human,9,88000000,1940.1152,gorilla,9,80000000,same
698,human,5,100000000,1387.1433,chimp,5,123000000,same
704,human,3,176000000,1709.7456,chimp,3,145000000,same
714,human,17,36000000,2167.3347,chimp,17,18000000,same
724,human,2,44000000,1677.9052,chimp,2A,29000000,same
727,human,3,25000000,1331.5182,chimp,3,52000000,same
738,human,16,57000000,1546.3069,chimp,16,61000000,same
746,human,16,60000000,1813.9285,gorilla,16,63000000,same
752,human,3,12000000,1613.1266,chimp,3,65000000,same
773,human,X,95000000,1279.3766,gorilla,X,101000000,same
782,human,10,85000000,1885.5482,gorilla,10,109000000,same
786,human,1,89000000,1548.5387,gorilla,1,99000000,same
790,human,20,6000000,1651.5411,chimp,20,20000000,same
798,human,5,155000000,1556.8732,gorilla,5,155000000,same
802,human,3,123000000,1686.1294,chimp,3,121000000,same
805,human,4,96000000,1664.3678,chimp,4,93000000,same
812,human,3,114000000,1771.7844,chimp,3,102000000,same
827,human,5,162000000,1751.9484,gorilla,5,148000000,same
859,human,9,15000000,1588.5929,gorilla,9,21000000,same
864,human,1,41000000,1883.0243,gorilla,1,30000000,same
867,human,8,74000000,1666.2732,gorilla,8,83000000,same
869,human,18,19000000,1393.8175,gorilla,18,40000000,same
881,human,15,65000000,1107.1503,chimp,15,74000000,same
894,human,9,22000000,1700.4174,gorilla,9,14000000,same
902,human,1,76000000,1694.5615,gorilla,1,57000000,same
909,human,4,69000000,1629.1987,chimp,4,58000000,same
921,human,6,135000000,1904.3958,chimp,6,126000000,same
922,human,13,80000000,1561.7704,chimp,13,81000000,same
929,human,12,115000000,1872.3228,chimp,12,100000000,same
936,human,10,3000000,1474.2086,chimp,10,2000000,same
940,human,7,93000000,1026.7827,chimp,7,83000000,same
954,human,12,122000000,1545.9069,gorilla,12,125000000,same
973,human,1,192000000,1506.7023,chimp,1,184000000,same
981,human,6,102000000,1839.2947,chimp,6,97000000,same
992,human,15,30000000,1772.5739999999994,chimp,15,42000000,same
999,human,8,16000000,1378.6133,gorilla,8,16000000,same
1004,human,9,77000000,1538.401,gorilla,9,91000000,same
1017,human,3,189000000,1760.3018,chimp,3,132000000,same
1020,human,14,51000000,1768.9966,chimp,14,76000000,same
1029,human,14,66000000,1759.3676,chimp,14,60000000,same
1032,human,11,79000000,1694.7898,chimp,11,73000000,same
1039,human,1,14000000,1002.3367300000001,chimp,1,15000000,same
1043,human,10,18000000,1795.0382,gorilla,10,18000000,same
1047,human,8,21000000,2010.4785,chimp,8,37000000,same
1065,human,12,83000000,1590.8134,gorilla,12,98000000,same
1086,human,6,157000000,1420.1277,gorilla,6,159000000,same
1094,human,6,160000000,1405.1619,gorilla,6,166000000,same
1122,human,2,220000000,1690.8004,chimp,2B,117000000,same
1151,human,12,92000000,731.39856,gorilla,12,89000000,same
1168,human,6,146000000,960.8086,chimp,6,115000000,same
1172,human,2,217000000,1846.1438,chimp,2B,107000000,same
1179,human,11,68000000,1559.3002,chimp,11,84000000,same
1183,human,9,51000000,613.9612400000002,gorilla,9,60000000,same
1196,human,14,77000000,1901.8773,gorilla,14,85000000,same
1200,human,X,19000000,1656.0164,chimp,X,37000000,same
1206,human,15,16000000,1649.7897,gorilla,15,15000000,same
1211,human,8,30000000,1880.1534,gorilla,8,37000000,same
1220,human,10,128000000,2325.347,chimp,10,131000000,same
1223,human,9,102000000,397.2275,chimp,9,104000000,same
1236,human,15,21000000,2063.452,chimp,15,51000000,same
1242,human,Y,9000000,1935.7006,chimp,Y,20000000,same
1243,human,4,108000000,1677.0925,chimp,4,81000000,same
1252,human,9,66000000,2183.9610000000002,chimp,9,73000000,same
1254,human,1,32000000,1372.6733,gorilla,1,40000000,same
1274,human,1,183000000,1586.4398,chimp,1,193000000,same
1284,human,6,113000000,1689.2802,chimp,6,149000000,same
1296,human,13,91000000,1267.1393,gorilla,13,71000000,same
1310,human,6,124000000,1831.2281,chimp,6,138000000,same
1312,human,7,82000000,1876.4667,chimp,7,94000000,same
1321,human,12,104000000,1626.2856,gorilla,12,77000000,same
1343,human,5,19000000,1569.0485,chimp,5,95000000,same
1345,human,15,74000000,1677.1208,gorilla,15,74000000,same
1346,human,3,0,2096.4072,chimp,3,10000000,same
1352,human,4,78000000,1696.0729,chimp,4,49000000,same
1358,human,9,33000000,1797.0514,gorilla,9,3000000,same
1370,human,1,67000000,1384.1716,gorilla,1,67000000,same
1374,human,11,6000000,1752.3668,chimp,11,47000000,same
1379,human,1,50000000,1379.5955,gorilla,1,84000000,same
1395,human,15,43000000,1633.7811,chimp,15,29000000,same
1408,human,3,105000000,1533.7914,gorilla,3,110000000,same
1438,human,5,8000000,1621.1948,chimp,5,11000000,same
1440,human,10,94000000,1849.759,gorilla,10,100000000,same
1453,human,X,84000000,1882.0834,gorilla,X,96000000,same
1454,human,3,132000000,1626.1243,gorilla,3,190000000,same
1457,human,1,215000000,1265.6564,gorilla,1,225000000,same
1461,human,4,87000000,1856.1823,chimp,4,102000000,same
1466,human,1,98000000,1921.7688,chimp,1,88000000,same
1470,human,5,144000000,1305.2913,gorilla,5,129000000,same
1480,human,16,71000000,1412.4260000000006,chimp,16,63000000,same
1489,human,X,107000000,1743.0105,chimp,X,114000000,same
1502,human,2,55000000,1733.7904,chimp,2A,18000000,same
1509,human,17,27000000,2306.7834,chimp,17,24000000,same
1511,human,X,130000000,1693.3523,chimp,X,146000000,same
1520,human,1,3000000,1952.3887,gorilla,1,2000000,same
1526,human,3,34000000,1945.8281,chimp,3,43000000,same
1555,human,3,167000000,1710.8121,chimp,3,154000000,same
1565,human,5,111000000,1738.6925,gorilla,5,98000000,same
1575,human,5,126000000,712.1831,chimp,5,96000000,same
1579,human,11,97000000,1631.1619,gorilla,11,107000000,same
1582,human,3,150000000,1910.8856,chimp,3,171000000,same
1591,human,11,106000000,1519.1615,gorilla,11,98000000,same
1599,human,22,8000000,1009.3441,chimp,22,8000000,same
1614,human,17,72000000,1385.2473,gorilla,5,4000000,same
1626,human,1,129000000,1319.9885,chimp,1,133000000,same
1629,human,3,61000000,1573.885,chimp,3,16000000,same
1636,human,3,56000000,1570.8406,gorilla,3,21000000,same
1641,human,16,24000000,1860.6711,chimp,16,24000000,same
1644,human,6,49000000,1468.371,chimp,6,48000000,same
1650,human,17,45000000,1745.0627,chimp,17,48000000,same
1656,human,2,37000000,1476.8867,chimp,2A,37000000,same
1663,human,6,3000000,1852.5679,gorilla,6,0,same
1667,human,5,50000000,1547.2566,chimp,5,60000000,same
1669,human,X,32000000,861.033,chimp,X,24000000,same
1674,human,22,26000000,1448.5898,chimp,22,27000000,same
1680,human,10,22000000,1714.6896,gorilla,10,14000000,same
1689,human,11,43000000,1770.9166,gorilla,11,16000000,same
1695,human,2,162000000,457.48264000000006,gorilla,4,87000000,same
1710,human,3,184000000,1513.2476,chimp,3,137000000,same
1720,human,11,74000000,1661.9133,chimp,11,78000000,same
1729,human,19,20000000,557.26843,gorilla,19,20000000,same
1734,human,10,15000000,1759.0896,gorilla,10,24000000,same
1737,human,9,7000000,1606.2957,gorilla,9,29000000,same
1739,human,10,103000000,1448.2236,gorilla,10,128000000,same
1742,human,18,41000000,1673.9843,chimp,18,15000000,same
1750,human,22,11000000,1709.6075,chimp,22,23000000,same
1757,human,X,1000000,394.33615,chimp,Y,22000000,same
1771,human,3,82000000,1768.3944,chimp,3,79000000,same
1807,human,4,53000000,1577.3132,chimp,4,74000000,same
1812,human,10,17000000,2453.4983,chimp,7,102000000,inversed
1815,human,9,18000000,1471.5203,gorilla,9,18000000,same
1816,human,11,21000000,1365.8307,gorilla,11,38000000,same
1820,human,2,100000000,1927.7345,gorilla,2A,95000000,same
1823,human,8,79000000,1308.5491,chimp,8,78000000,same
1825,human,10,40000000,2284.3162,chimp,10,44000000,same
1827,human,18,14000000,1903.5576,chimp,18,0,same
1834,human,X,50000000,1160.3654,gorilla,X,53000000,same
1838,human,5,32000000,1441.3802,chimp,5,79000000,same
1841,human,X,67000000,1243.9595,gorilla,X,73000000,same
1849,human,15,68000000,1484.8483,chimp,15,71000000,same
1857,human,10,77000000,1705.751,chimp,10,81000000,same
1859,human,18,23000000,1747.1682,chimp,18,33000000,same
1865,human,11,16000000,1580.1235,gorilla,11,43000000,same
1868,human,19,42000000,1947.5938,chimp,19,30000000,same
1870,human,2,137000000,1525.0815,chimp,2B,22000000,same
1874,human,4,64000000,1651.4749,chimp,4,63000000,same
1888,human,6,138000000,1527.6593,chimp,6,123000000,same
1894,human,12,118000000,1700.5667,chimp,12,97000000,same
1942,human,20,20000000,1720.0831,chimp,20,6000000,same
1948,human,7,56000000,372.56665,gorilla,7,62000000,same
1956,human,2,49000000,1871.5115,chimp,2A,24000000,same
1960,human,7,116000000,2326.1934,chimp,7,112000000,same
1963,human,3,28000000,1587.1146,chimp,3,49000000,same
1967,human,13,45000000,1602.3806,chimp,13,39000000,same
1974,human,1,160000000,1228.5787,gorilla,1,165000000,same
1981,human,1,157000000,1520.3749,gorilla,1,168000000,same
1982,human,7,121000000,1606.8472,chimp,7,107000000,same
1987,human,13,72000000,1656.8787,chimp,13,89000000,same
1997,human,12,13000000,1653.4706,chimp,12,18000000,same
2000,human,20,17000000,1864.9238,chimp,20,9000000,same
2003,human,7,61000000,1560.6,chimp,7,209000000,same
2008,human,X,98000000,1696.4385,gorilla,X,111000000,same
2016,human,10,88000000,1957.9656,gorilla,10,106000000,same
2021,human,1,84000000,1644.4242,gorilla,1,104000000,same
2031,human,5,158000000,1901.487,gorilla,5,152000000,same
2045,human,3,119000000,1300.7605,chimp,3,126000000,same
2067,human,8,86000000,1616.7593,chimp,8,137000000,same
2075,human,16,38000000,1824.1821,chimp,16,35000000,same
2081,human,6,55000000,1975.6678,chimp,6,42000000,same
2082,human,1,102000000,1852.1837,gorilla,1,85000000,same
2089,human,13,27000000,1343.3124,chimp,13,28000000,same
2103,human,17,59000000,995.1386,gorilla,5,5000000,same
2113,human,19,2000000,988.8834,gorilla,19,2000000,same
2124,human,12,71000000,1715.8181,chimp,12,44000000,same
2129,human,13,10000000,1263.6932,gorilla,13,11000000,same
2140,human,6,62000000,1611.5927,chimp,6,66000000,same
2141,human,1,135000000,1660.7579,gorilla,1,145000000,same
2168,human,8,130000000,1555.1182,gorilla,8,131000000,same
2172,human,5,98000000,1121.9451,chimp,5,125000000,same
2177,human,8,107000000,1750.9407,chimp,8,116000000,same
2197,human,9,85000000,1686.8970000000006,gorilla,9,83000000,same
2207,human,17,22000000,1988.9987,gorilla,5,53000000,same
2210,human,X,135000000,1986.6677,gorilla,X,143000000,same
2216,human,2,50000000,1619.2245,chimp,2A,23000000,same
2225,human,3,31000000,1696.9736,chimp,3,46000000,same
2239,human,1,179000000,1792.194,gorilla,1,202000000,same
2245,human,16,74000000,1742.8020000000001,chimp,16,80000000,same
2248,human,6,19000000,1695.0529,chimp,6,7000000,same
2269,human,17,15000000,1511.6716,chimp,17,38000000,same
2273,human,X,102000000,1634.8593,gorilla,X,107000000,same
2274,human,7,78000000,1374.1144,chimp,7,98000000,same
2293,human,10,91000000,1811.0045,gorilla,10,103000000,same
2304,human,5,141000000,1748.7858,gorilla,5,132000000,same
2305,human,3,137000000,1496.1251,chimp,3,184000000,same
2313,human,4,82000000,1575.2028,chimp,4,108000000,same
2317,human,3,100000000,1796.1274,chimp,3,116000000,same
2351,human,16,21000000,1843.3671,gorilla,16,23000000,same
2359,human,3,53000000,1800.316,chimp,3,24000000,same
2364,human,2,32000000,1222.0269,chimp,2A,42000000,same
2368,human,6,6000000,1836.9224,chimp,6,20000000,same
2369,human,17,40000000,1140.2478,chimp,17,11000000,same
2381,human,12,68000000,1736.0379999999998,chimp,12,47000000,same
2386,human,3,64000000,1445.2394,chimp,3,12000000,same
2393,human,16,16000000,1848.6665,gorilla,16,18000000,same
2403,human,3,155000000,1520.3652,chimp,3,166000000,same
2414,human,5,123000000,1864.5327,chimp,5,99000000,same
2416,human,11,92000000,2091.429,gorilla,11,112000000,same
2427,human,8,129000000,1798.8024,gorilla,8,132000000,same
2429,human,11,103000000,1294.191,gorilla,11,101000000,same
2464,human,5,114000000,1652.5186,chimp,5,108000000,same
2469,human,3,162000000,1928.4108,chimp,3,159000000,same
2476,human,16,3000000,282.19973999999996,chimp,1,1000000,same
2478,human,5,49000000,1718.3641,chimp,5,61000000,same
2484,human,15,24000000,1647.6815,chimp,15,48000000,same
2498,human,9,63000000,1898.1104,chimp,9,62000000,same
2499,human,1,37000000,1945.5720000000001,gorilla,1,34000000,same
2522,human,14,72000000,1781.0984,chimp,14,54000000,same
2532,human,19,39000000,2082.1545,chimp,19,33000000,same
2535,human,8,35000000,1694.3527,gorilla,8,32000000,same
2538,human,18,58000000,2151.7231,chimp,18,57000000,same
2544,human,15,13000000,1948.5771,gorilla,15,18000000,same
2555,human,12,97000000,1671.6934,gorilla,12,84000000,same
2562,human,2,212000000,1604.652,gorilla,2B,113000000,same
2567,human,12,8000000,912.72375,gorilla,12,8000000,same
2578,human,6,143000000,1870.0094,chimp,6,118000000,same
2589,human,2,225000000,1557.5167,chimp,2B,119000000,same
2596,human,1,0,667.38165,chimp,7,159000000,same
2630,human,11,3000000,421.35364000000004,gorilla,11,3000000,same
2631,human,11,38000000,1735.4342,gorilla,11,21000000,same
2637,human,1,55000000,1532.976,gorilla,1,79000000,same
2638,human,2,119000000,859.2292,chimp,2B,10000000,same
2650,human,X,49000000,1990.5898,chimp,X,50000000,same
2653,human,15,46000000,1760.4484,chimp,15,26000000,same
2659,human,15,71000000,1709.5068,gorilla,15,77000000,same
2671,human,9,36000000,2097.7014,gorilla,9,39000000,same
2680,human,1,62000000,1511.3033,gorilla,1,72000000,same
2698,human,6,121000000,1748.0991,chimp,6,141000000,same
2705,human,12,101000000,1541.4083,gorilla,12,80000000,same
2707,human,2,98000000,1706.1964,chimp,2A,96000000,same
2714,human,7,87000000,1831.5648,chimp,7,89000000,same
2741,human,1,186000000,1896.7877,chimp,1,190000000,same
2745,human,6,116000000,1658.4044,chimp,6,146000000,same
2778,human,8,83000000,1695.006,chimp,8,140000000,same
2798,human,1,81000000,1580.7289,gorilla,1,52000000,same
2807,human,7,124000000,1899.6368,chimp,7,104000000,same
2813,human,13,77000000,1728.4675,chimp,13,84000000,same
2821,human,16,68000000,1580.7169,chimp,16,66000000,same
2825,human,1,152000000,958.7904,gorilla,1,173000000,same
2830,human,20,12000000,2115.2097,chimp,20,14000000,same
2832,human,7,64000000,1665.275,gorilla,7,70000000,same
2839,human,12,16000000,1857.0522,chimp,12,15000000,same
2854,human,20,25000000,1612.0994,gorilla,20,25000000,same
2867,human,1,165000000,1656.4717,gorilla,1,160000000,same
2869,human,7,113000000,1614.2598,chimp,7,188000000,same
2876,human,4,5000000,1839.3511,chimp,4,8000000,same
2878,human,13,40000000,1742.3043,gorilla,13,36000000,same
2889,human,8,102000000,1908.6357,chimp,8,121000000,same
2890,human,11,128000000,2058.919,chimp,11,90000000,same
2913,human,9,80000000,1459.0715,gorilla,9,88000000,same
2914,human,5,108000000,1731.3983,chimp,5,114000000,same
2925,human,3,149000000,1750.0837,chimp,3,172000000,same
2935,human,8,135000000,1759.3314,gorilla,8,134000000,same
2949,human,2,19000000,1862.4974,gorilla,2A,18000000,same
2954,human,12,74000000,1710.1968,gorilla,12,108000000,same
2968,human,1,130000000,1779.1364,chimp,1,132000000,same
2970,human,6,67000000,1599.7675,chimp,6,68000000,same
2974,human,3,78000000,1955.6151,chimp,3,83000000,same
2975,human,7,146000000,1713.6642,gorilla,7,148000000,same
2986,human,13,22000000,1708.1879,chimp,13,22000000,same
2988,human,21,26000000,1676.6199,chimp,21,26000000,same
2991,human,1,107000000,1261.0712,chimp,1,106000000,same
2993,human,6,50000000,1933.3779,chimp,6,47000000,same
2997,human,20,47000000,419.5684,gorilla,1,0,same
3003,human,3,5000000,1953.0951,chimp,3,5000000,same
3056,human,6,98000000,1887.1593,chimp,6,101000000,same
3070,human,11,71000000,1752.08,chimp,11,81000000,same
3076,human,2,150000000,260.20288,chimp,X,54000000,same
3078,human,19,25000000,1883.9042,chimp,19,47000000,same
3088,human,5,62000000,1820.0078,gorilla,17,32000000,same
3094,human,22,14000000,1619.056,chimp,22,20000000,same
3096,human,10,10000000,1750.5881,gorilla,10,29000000,same
3101,human,8,29000000,888.2478,gorilla,8,38000000,same
3104,human,10,106000000,1643.2599,gorilla,10,125000000,same
3107,human,9,2000000,1192.8849,gorilla,9,34000000,same
3109,human,18,44000000,1885.4637,chimp,18,71000000,same
3112,human,10,27000000,1683.0707,chimp,10,9000000,same
3121,human,18,73000000,1476.7357,chimp,18,42000000,same
3124,human,5,55000000,1726.24,chimp,5,55000000,same
3127,human,X,37000000,1580.6918,gorilla,X,43000000,same
3130,human,15,38000000,1619.1521,chimp,15,34000000,same
3131,human,22,23000000,2093.9634,chimp,22,11000000,same
3140,human,3,181000000,1436.878,chimp,3,140000000,same
3142,human,14,59000000,1561.23,chimp,14,67000000,same
3145,human,11,46000000,1888.2979999999998,gorilla,11,13000000,same
3152,human,19,12000000,1281.2676,gorilla,19,11000000,same
3183,human,13,88000000,1560.6469,gorilla,13,74000000,same
3214,human,10,72000000,1445.4999,gorilla,10,87000000,same
3218,human,18,26000000,2107.4521,chimp,18,30000000,same
3239,human,4,61000000,1399.2917,chimp,4,66000000,same
3248,human,11,13000000,1471.3406,gorilla,11,46000000,same
3250,human,19,47000000,1804.7518,chimp,19,54000000,same
3251,human,2,132000000,958.5257,chimp,2B,27000000,same
3257,human,11,24000000,2050.9128,gorilla,11,35000000,same
3261,human,1,49000000,1542.892,chimp,7,69000000,same
3269,human,4,56000000,1390.6375,chimp,4,71000000,same
3274,human,X,55000000,1960.9811,chimp,X,179000000,same
3281,human,10,45000000,2100.8945,chimp,10,46000000,same
3298,human,11,35000000,1508.0276,gorilla,11,24000000,same
3304,human,1,58000000,1050.8109,gorilla,1,76000000,same
3305,human,2,114000000,2159.6458,chimp,2B,16000000,same
3317,human,X,44000000,1920.9379999999999,chimp,X,172000000,same
3330,human,5,11000000,1990.9554,chimp,5,8000000,same
3343,human,18,37000000,1803.8334,chimp,18,19000000,same
3357,human,2,123000000,1427.3286,gorilla,2B,13000000,same
3359,human,Y,12000000,1524.4878,chimp,Y,21000000,same
3364,human,4,70000000,1618.8529,chimp,4,57000000,same
3384,human,2,95000000,1569.6393,chimp,2A,99000000,same
3428,human,5,44000000,1614.2682,chimp,5,67000000,same
3431,human,X,26000000,1543.3339,chimp,X,30000000,same
3435,human,22,32000000,1964.2816,gorilla,22,34000000,same
3436,human,15,29000000,1559.0439999999999,chimp,15,43000000,same
3440,human,10,36000000,1342.9042,gorilla,10,36000000,same
3445,human,10,120000000,2031.9749,chimp,10,130000000,same
3450,human,18,62000000,1610.8772,chimp,18,53000000,same
3467,human,4,100000000,1690.5453,chimp,4,89000000,same
3468,human,Y,1000000,1490.4976,chimp,X,111000000,same
3471,human,14,48000000,1694.9675,gorilla,14,48000000,same
3473,human,3,190000000,1730.9814,gorilla,3,130000000,same
3484,human,11,60000000,1097.0322,chimp,11,60000000,same
3489,human,9,59000000,1653.9731,chimp,9,66000000,same
3492,human,2,141000000,1782.7963,chimp,2B,131000000,same
3494,human,19,34000000,1420.1782,chimp,19,38000000,same
3502,human,8,38000000,1366.6649,gorilla,8,40000000,same
3504,human,10,117000000,1945.6644,gorilla,10,113000000,same
3508,human,18,55000000,1610.691,chimp,18,60000000,same
3513,human,X,11000000,2012.2059,chimp,X,45000000,same
3536,human,12,5000000,1319.579,chimp,12,0,same
3539,human,3,96000000,1799.9508,chimp,3,120000000,same
3579,human,6,41000000,1683.2045,chimp,6,56000000,same
3603,human,20,56000000,1633.8762,chimp,20,57000000,same
3626,human,12,65000000,1612.6476,chimp,12,50000000,same
3639,human,1,121000000,2055.8179999999998,chimp,1,124000000,same
3641,human,17,0,1554.7502,chimp,17,0,same
3644,human,3,158000000,1673.3202,gorilla,3,163000000,same
3645,human,14,80000000,2137.3708,chimp,14,82000000,same
3669,human,8,124000000,1635.5217,chimp,8,98000000,same
3674,human,8,113000000,1506.8373,chimp,8,109000000,same
3696,human,5,119000000,1781.807,chimp,5,103000000,same
3697,human,9,91000000,1802.3346,chimp,9,95000000,same
3709,human,18,2000000,1029.9438,chimp,18,12000000,same
3717,human,X,138000000,1896.1094,chimp,X,177000000,same
3718,human,7,42000000,2085.343,chimp,7,40000000,same
3734,human,7,102000000,1631.5938,chimp,7,127000000,same
3747,human,6,23000000,997.7998699999999,chimp,6,3000000,same
3748,human,1,174000000,1478.2520000000006,gorilla,1,151000000,same
3759,human,6,14000000,1799.7909,chimp,6,12000000,same
3760,human,1,143000000,1859.7928,chimp,1,178000000,same
3762,human,7,135000000,1712.0227,chimp,7,180000000,same
3779,human,17,18000000,2357.006,gorilla,5,62000000,same
3797,human,1,90000000,1738.8871,gorilla,1,98000000,same
3839,human,8,92000000,1666.7188,chimp,8,131000000,same
3851,human,12,127000000,1742.3256,chimp,12,87000000,same
3867,human,1,197000000,1709.3022,gorilla,1,205000000,same
3868,human,21,0,1265.4045,gorilla,11,51000000,same
3877,human,6,107000000,1851.7736,gorilla,6,155000000,same
3884,human,13,85000000,1656.5219,chimp,13,76000000,same
3895,human,6,130000000,1471.2048,chimp,6,132000000,same
3896,human,7,96000000,1315.0659,chimp,7,101000000,same
3901,human,12,110000000,1782.6696,chimp,12,105000000,same
3910,human,10,6000000,1822.6542,gorilla,10,33000000,same
3926,human,15,60000000,1504.9711,chimp,15,61000000,same
3942,human,9,27000000,1663.6351,gorilla,9,9000000,same
3948,human,1,73000000,1755.0826,gorilla,1,61000000,same
3951,human,9,10000000,1183.3232,gorilla,9,26000000,same
3952,human,11,29000000,1685.6565,gorilla,11,30000000,same
3957,human,1,44000000,2040.8032,gorilla,1,49000000,same
3958,human,2,108000000,1733.5126,chimp,2B,5000000,same
3976,human,15,57000000,1509.5187,chimp,15,59000000,same
4001,human,6,165000000,1803.3312,gorilla,6,168000000,same
4024,human,12,86000000,1278.5723,gorilla,12,95000000,same
4039,human,X,9000000,2025.0923,chimp,X,47000000,same
4047,human,6,95000000,1520.3481,chimp,6,104000000,same
4049,human,6,152000000,1357.0283,chimp,6,109000000,same
4063,human,9,45000000,499.22144000000003,gorilla,9,54000000,same
4068,human,19,28000000,1969.8223,chimp,19,44000000,same
4076,human,14,63000000,1758.769,chimp,14,63000000,same
4084,human,22,19000000,1650.8914,chimp,22,15000000,same
4089,human,8,24000000,1576.77,chimp,8,34000000,same
4092,human,18,49000000,1440.1334,chimp,18,66000000,same
4095,human,8,13000000,1584.6715,gorilla,8,19000000,same
4100,human,5,58000000,1523.2911,gorilla,17,27000000,same
4107,human,15,35000000,1726.1844,chimp,15,37000000,same
4117,human,14,54000000,1631.8846,chimp,14,73000000,same
4120,human,9,72000000,2091.5066,chimp,9,89000000,same
4123,human,1,26000000,1638.4171,chimp,1,36000000,same
4139,human,11,125000000,1809.1873,chimp,11,93000000,same
4151,human,3,173000000,1799.6754,chimp,3,148000000,same
4165,human,5,105000000,1605.3573,chimp,5,118000000,same
4177,human,5,132000000,2092.6516,chimp,5,41000000,same
4180,human,11,83000000,1856.9417,chimp,11,68000000,same
4183,human,3,144000000,1771.6528,chimp,3,177000000,same
4193,human,8,138000000,2180.1963,chimp,8,84000000,same
4195,human,11,112000000,1753.6727,gorilla,11,92000000,same
