,sp,chr,loc,scr,ms,mc,ml,orientation
632,chimp,14,59000000,1703.6339,human,14,67000000,same
634,chimp,3,181000000,1717.1323,human,3,140000000,same
635,chimp,2A,36000000,1855.4711,gorilla,2A,38000000,same
637,chimp,11,46000000,884.96594,human,11,7000000,same
639,chimp,19,12000000,1427.7188,gorilla,19,11000000,same
640,chimp,2B,108000000,1795.5404,human,2,216000000,same
642,chimp,12,114000000,1055.1758,gorilla,12,103000000,same
647,chimp,10,27000000,1119.6923,gorilla,10,34000000,same
651,chimp,18,73000000,1835.4129999999998,gorilla,18,45000000,same
657,chimp,8,25000000,1256.9182,gorilla,8,34000000,same
659,chimp,22,23000000,1618.1157,human,22,11000000,same
664,chimp,15,38000000,1765.5098,human,15,34000000,same
669,chimp,8,12000000,1290.5773,human,8,19000000,same
671,chimp,22,14000000,1118.0929,human,22,20000000,same
678,chimp,10,10000000,1648.8301,human,10,26000000,same
683,chimp,18,44000000,1625.9309,gorilla,18,75000000,same
685,chimp,5,59000000,1525.3798,human,5,51000000,same
690,chimp,11,71000000,1921.8555,human,11,81000000,same
694,chimp,19,25000000,1984.5187,human,19,19000000,same
697,chimp,12,123000000,1526.911,gorilla,12,94000000,same
706,chimp,1,27000000,1938.0691,gorilla,1,38000000,same
709,chimp,9,73000000,969.0256300000001,gorilla,9,76000000,same
715,chimp,1,3000000,1760.4163,human,1,2000000,same
728,chimp,13,88000000,1699.8131,human,13,73000000,same
762,chimp,7,97000000,1668.0334,human,7,79000000,same
764,chimp,10,7000000,1454.7343,human,10,29000000,same
783,chimp,18,11000000,1751.1387,human,18,3000000,same
788,chimp,11,24000000,1733.9187,gorilla,11,29000000,same
793,chimp,2A,54000000,1990.5182,gorilla,2A,20000000,same
796,chimp,5,8000000,1474.3114,human,5,11000000,same
800,chimp,1,72000000,1833.7808,gorilla,1,60000000,same
807,chimp,9,26000000,1291.1002,gorilla,9,6000000,same
810,chimp,1,45000000,1359.0503,gorilla,1,42000000,same
818,chimp,9,11000000,1107.7278,gorilla,9,21000000,same
821,chimp,11,13000000,1442.3073,gorilla,11,41000000,same
825,chimp,19,47000000,1783.8387,human,19,25000000,same
829,chimp,10,72000000,2356.966,gorilla,10,92000000,same
835,chimp,18,26000000,1288.8466,human,18,30000000,same
885,chimp,X,91000000,2169.22,gorilla,X,107000000,same
896,chimp,4,92000000,1828.4917,human,4,97000000,same
911,chimp,20,2000000,1515.1084,gorilla,20,24000000,same
918,chimp,1,165000000,1726.4932,gorilla,1,148000000,same
919,chimp,3,16000000,1383.5702,human,3,61000000,same
920,chimp,11,116000000,1726.5707,gorilla,11,104000000,same
923,chimp,7,113000000,1817.1483,human,7,115000000,same
925,chimp,13,40000000,1813.0411,human,13,44000000,same
927,chimp,7,68000000,1686.9751,human,7,66000000,same
932,chimp,12,21000000,1916.4431,human,12,10000000,same
938,chimp,20,25000000,1958.5968,human,20,1000000,same
946,chimp,20,12000000,1226.6937,human,20,14000000,same
957,chimp,12,16000000,1557.7216,human,12,15000000,same
964,chimp,7,124000000,1865.7795,human,7,105000000,same
966,chimp,13,77000000,1946.8542,human,13,84000000,same
970,chimp,16,68000000,1770.9159,human,16,66000000,same
977,chimp,3,21000000,1766.6528,human,3,56000000,same
978,chimp,1,152000000,1874.3157,gorilla,1,161000000,same
980,chimp,11,121000000,1522.1566,gorilla,11,99000000,same
987,chimp,8,135000000,1155.2528,gorilla,8,91000000,same
1010,chimp,3,149000000,1697.2842,human,3,172000000,same
1042,chimp,5,108000000,1932.2863,human,5,114000000,same
1044,chimp,5,91000000,1770.9376,gorilla,5,82000000,same
1052,chimp,8,102000000,988.5428,human,8,120000000,same
1068,chimp,2B,33000000,1803.5472,human,2,126000000,same
1070,chimp,12,43000000,1806.2966,human,12,72000000,same
1073,chimp,7,171000000,1171.4541,gorilla,7,71000000,same
1077,chimp,13,22000000,1883.9579999999999,human,13,22000000,same
1085,chimp,21,26000000,1602.8570000000002,human,21,26000000,same
1088,chimp,1,107000000,1492.0096,gorilla,1,110000000,same
1096,chimp,3,43000000,1110.3066,gorilla,3,43000000,same
1097,chimp,1,130000000,1837.481,human,1,132000000,same
1111,chimp,12,74000000,1487.5862,gorilla,12,78000000,same
1121,chimp,7,157000000,1964.8754,human,7,151000000,same
1132,chimp,3,52000000,1392.5112,human,3,25000000,same
1133,chimp,1,121000000,2248.8018,human,1,110000000,same
1137,chimp,20,61000000,2092.6677,human,20,57000000,same
1145,chimp,2B,15000000,1724.9648,gorilla,2B,8000000,same
1155,chimp,2B,22000000,1413.1333,human,2,137000000,same
1158,chimp,12,52000000,1279.2946,gorilla,12,65000000,same
1170,chimp,3,65000000,1761.8137,human,3,12000000,same
1175,chimp,12,134000000,2046.8683,gorilla,12,133000000,inversed
1191,chimp,5,119000000,1745.5737,human,5,104000000,same
1202,chimp,8,113000000,1430.8739,human,8,110000000,same
1208,chimp,5,80000000,1647.1472,human,5,31000000,same
1230,chimp,8,124000000,1547.1714,human,8,99000000,same
1237,chimp,14,80000000,1700.2115,human,14,82000000,same
1240,chimp,3,158000000,1784.422,human,3,163000000,same
1256,chimp,7,209000000,1707.6373,human,7,0,same
1266,chimp,17,18000000,1227.2272,human,17,36000000,same
1276,chimp,16,79000000,1030.2194,gorilla,16,26000000,same
1281,chimp,3,30000000,1566.6713,human,3,47000000,same
1282,chimp,1,143000000,1331.9111,gorilla,1,170000000,same
1286,chimp,11,130000000,1493.5394,gorilla,11,90000000,same
1295,chimp,6,18000000,1637.6302,gorilla,6,9000000,same
1309,chimp,1,174000000,1642.8151,human,1,147000000,same
1311,chimp,11,107000000,1368.7048,gorilla,11,113000000,same
1315,chimp,20,34000000,1550.1675,human,20,27000000,same
1319,chimp,X,138000000,1317.4255,human,X,129000000,same
1365,chimp,4,83000000,1741.6849,gorilla,4,119000000,same
1406,chimp,19,56000000,1153.4774,gorilla,19,55000000,same
1409,chimp,1,54000000,1302.0657,gorilla,1,78000000,same
1415,chimp,11,2000000,1839.0219,gorilla,11,2000000,same
1426,chimp,10,63000000,924.51306,gorilla,10,77000000,same
1432,chimp,18,37000000,1623.3268,human,18,19000000,same
1434,chimp,X,48000000,1603.6152,gorilla,X,10000000,same
1455,chimp,1,63000000,1648.2012,gorilla,1,69000000,same
1462,chimp,9,37000000,411.25253,gorilla,9,34000000,same
1465,chimp,11,35000000,2197.6814,gorilla,11,18000000,same
1468,chimp,2A,45000000,1620.5233,gorilla,2A,29000000,same
1471,chimp,19,61000000,1641.4393,human,19,48000000,same
1498,chimp,7,86000000,1864.749,human,7,90000000,same
1524,chimp,10,129000000,1904.4056,human,10,121000000,same
1537,chimp,18,55000000,1467.5791,gorilla,18,64000000,same
1542,chimp,16,2000000,2046.0652,gorilla,16,1000000,same
1544,chimp,5,48000000,847.4834599999997,gorilla,17,30000000,same
1554,chimp,1,36000000,1442.5065,human,1,26000000,same
1557,chimp,9,62000000,2044.4469,human,9,63000000,same
1566,chimp,12,132000000,1824.3682,gorilla,12,132000000,same
1570,chimp,19,34000000,1696.0765,human,19,38000000,same
1573,chimp,2A,27000000,896.5891,human,2,46000000,same
1574,chimp,11,57000000,316.40622,human,11,56000000,same
1576,chimp,12,105000000,1707.0253,human,12,110000000,same
1578,chimp,2B,119000000,1917.9257,human,2,218000000,same
1580,chimp,4,100000000,1688.545,human,4,89000000,same
1586,chimp,3,190000000,1843.2894,human,3,131000000,same
1587,chimp,14,48000000,1642.273,human,14,49000000,same
1592,chimp,8,34000000,1970.4388,human,8,24000000,same
1593,chimp,15,29000000,1823.7537,human,15,43000000,same
1601,chimp,10,36000000,2037.4147,gorilla,10,25000000,same
1603,chimp,18,62000000,1969.0629999999999,human,18,53000000,same
1672,chimp,8,138000000,1571.1521,human,8,85000000,same
1693,chimp,11,83000000,1675.6788,human,11,69000000,same
1698,chimp,5,132000000,2106.0713,human,5,91000000,same
1704,chimp,3,144000000,1846.9081,human,3,177000000,same
1708,chimp,9,81000000,1201.985,gorilla,9,89000000,same
1713,chimp,3,173000000,1902.874,human,3,148000000,same
1731,chimp,5,105000000,714.7052,human,5,117000000,same
1756,chimp,X,146000000,1472.0629999999999,human,X,130000000,same
1761,chimp,19,6000000,1141.6448,human,19,4000000,same
1767,chimp,6,66000000,1491.6725,human,6,62000000,same
1779,chimp,3,79000000,1400.6829,human,3,82000000,same
1786,chimp,6,51000000,1619.7981,human,6,46000000,same
1789,chimp,13,18000000,1764.6565,human,13,26000000,same
1795,chimp,12,79000000,1588.6567,gorilla,12,73000000,same
1798,chimp,17,66000000,1549.8042,gorilla,5,11000000,same
1804,chimp,1,201000000,1884.545,human,1,197000000,same
1818,chimp,5,150000000,1346.2944,gorilla,5,148000000,same
1819,chimp,2A,91000000,1936.7914,gorilla,2A,92000000,same
1830,chimp,10,80000000,1583.5286,human,10,78000000,same
1835,chimp,8,82000000,1718.9025,human,8,75000000,same
1869,chimp,5,167000000,1543.3293,gorilla,5,131000000,same
1875,chimp,3,111000000,1239.1896,human,3,105000000,same
1880,chimp,1,80000000,1462.8410000000001,gorilla,1,52000000,same
1883,chimp,16,52000000,456.52047999999996,gorilla,16,54000000,same
1886,chimp,1,168000000,2154.927,gorilla,1,145000000,same
1895,chimp,7,65000000,1777.7151,human,7,69000000,same
1901,chimp,17,33000000,1006.2935,gorilla,5,46000000,same
1913,chimp,X,113000000,1934.8301,human,X,104000000,same
1925,chimp,7,129000000,2068.246,human,7,100000000,same
1932,chimp,16,65000000,1575.1827,human,16,69000000,same
1962,chimp,10,135000000,1141.9958,gorilla,10,100000000,same
1964,chimp,13,85000000,1761.6687,human,13,76000000,same
1971,chimp,6,130000000,1877.5408,human,6,131000000,same
1976,chimp,1,197000000,2033.289,human,1,179000000,same
1977,chimp,6,107000000,1802.1521,human,6,154000000,same
1983,chimp,10,102000000,852.2878400000003,gorilla,10,122000000,same
2005,chimp,15,57000000,1880.8235,human,15,59000000,same
2011,chimp,10,48000000,1443.3793,human,10,46000000,same
2022,chimp,11,29000000,1235.5687,gorilla,11,24000000,same
2027,chimp,2A,59000000,1860.1528,human,2,15000000,same
2028,chimp,4,60000000,1609.6143,gorilla,4,79000000,same
2032,chimp,5,5000000,2023.3549,human,5,14000000,same
2044,chimp,1,48000000,1365.2487,gorilla,1,84000000,same
2057,chimp,4,57000000,1707.5372,human,4,70000000,same
2065,chimp,X,54000000,1874.7839,gorilla,X,58000000,same
2071,chimp,15,60000000,1838.6171,human,15,56000000,same
2083,chimp,6,152000000,1458.1178,gorilla,6,157000000,same
2094,chimp,12,86000000,1291.0441,gorilla,12,66000000,same
2132,chimp,6,99000000,1847.2194,human,6,100000000,same
2143,chimp,6,165000000,1619.8724,gorilla,6,162000000,same
2152,chimp,14,54000000,1951.7733,human,14,72000000,same
2159,chimp,12,119000000,1471.9719,gorilla,12,98000000,same
2166,chimp,9,116000000,710.2523,gorilla,13,0,same
2167,chimp,5,63000000,1703.9185,gorilla,17,45000000,same
2171,chimp,8,28000000,1869.5222,gorilla,8,31000000,same
2173,chimp,15,35000000,1631.0695,human,15,37000000,same
2181,chimp,22,19000000,1621.1923,human,22,15000000,same
2187,chimp,X,36000000,963.6303,human,X,20000000,same
2188,chimp,18,49000000,1533.7673,human,18,66000000,same
2189,chimp,5,54000000,1763.3572,human,5,56000000,same
2195,chimp,19,28000000,1694.8843,gorilla,19,44000000,same
2205,chimp,14,63000000,1316.0155,human,14,63000000,same
2220,chimp,4,8000000,1638.9052,human,4,5000000,same
2238,chimp,6,129000000,1555.5385,human,6,132000000,same
2266,chimp,7,83000000,1505.0593,human,7,93000000,same
2290,chimp,2A,5000000,1970.6133,human,2,3000000,same
2297,chimp,11,30000000,1438.4497,gorilla,11,23000000,same
2299,chimp,5,181000000,1253.488,human,5,21000000,same
2300,chimp,2A,40000000,1499.473,gorilla,2A,34000000,same
2306,chimp,1,66000000,1889.6777,gorilla,1,66000000,same
2316,chimp,9,32000000,1606.6697,gorilla,9,0,same
2318,chimp,1,51000000,1154.3755,gorilla,1,81000000,same
2324,chimp,11,7000000,1891.3473,gorilla,11,47000000,same
2330,chimp,19,53000000,1051.8029,human,19,48000000,same
2333,chimp,10,66000000,1761.9023,gorilla,10,86000000,same
2338,chimp,18,32000000,1761.2887,human,18,24000000,same
2344,chimp,15,79000000,1342.3502,gorilla,15,80000000,same
2350,chimp,3,8000000,1302.858,gorilla,3,8000000,same
2372,chimp,17,80000000,1431.994,human,17,76000000,same
2389,chimp,6,80000000,326.4357,human,10,11000000,same
2401,chimp,4,105000000,1660.5146,human,4,84000000,same
2408,chimp,3,195000000,1730.1023,human,3,127000000,same
2409,chimp,2A,22000000,1601.259,human,2,51000000,same
2415,chimp,12,100000000,1811.62,human,12,115000000,same
2419,chimp,10,33000000,1563.4125,gorilla,10,28000000,same
2421,chimp,X,18000000,933.6293,gorilla,X,41000000,same
2422,chimp,18,67000000,1697.5548,human,18,48000000,same
2432,chimp,8,31000000,1749.3734,human,8,27000000,same
2450,chimp,18,50000000,1437.7367,gorilla,18,69000000,same
2456,chimp,2A,15000000,1625.4404,human,2,58000000,same
2460,chimp,11,65000000,2262.4963,human,11,61000000,same
2463,chimp,19,31000000,1776.1239,human,19,41000000,same
2468,chimp,1,33000000,640.9294,human,1,39000000,same
2474,chimp,9,67000000,1742.42,gorilla,9,82000000,same
2479,chimp,8,121000000,1715.5975,human,8,102000000,same
2507,chimp,14,85000000,1740.6984,human,14,77000000,same
2541,chimp,8,116000000,1407.4387,human,8,107000000,same
2546,chimp,22,9000000,1724.8282,human,22,25000000,same
2551,chimp,17,48000000,1626.5502,human,17,45000000,same
2556,chimp,2B,27000000,1809.7911,human,2,132000000,same
2563,chimp,7,165000000,1498.2356,human,7,90000000,same
2568,chimp,13,36000000,1714.4920000000006,gorilla,13,37000000,same
2571,chimp,X,9000000,1923.5029,human,X,6000000,same
2575,chimp,16,29000000,1885.3488,gorilla,16,30000000,same
2576,chimp,21,32000000,1915.9053,human,21,32000000,same
2579,chimp,3,60000000,1855.0176,human,3,17000000,same
2586,chimp,1,124000000,1348.0864,gorilla,7,59000000,same
2587,chimp,3,57000000,1723.729,human,3,20000000,same
2590,chimp,7,152000000,1746.5499,human,7,144000000,same
2591,chimp,6,48000000,1170.0983,human,6,49000000,same
2602,chimp,2B,10000000,1830.2405,gorilla,2B,13000000,same
2609,chimp,20,64000000,2180.317,human,20,29000000,same
2633,chimp,5,149000000,1821.1289,gorilla,5,149000000,same
2634,chimp,2A,88000000,1849.8218,gorilla,2A,87000000,same
2646,chimp,10,99000000,1913.3652,gorilla,10,125000000,same
2648,chimp,8,143000000,2309.0168,human,8,140000000,same
2674,chimp,4,86000000,1571.8884,human,4,103000000,same
2684,chimp,3,108000000,1992.4618,human,3,108000000,same
2690,chimp,1,99000000,2034.5692,gorilla,1,96000000,same
2697,chimp,1,171000000,2122.3062,gorilla,1,142000000,same
2699,chimp,11,102000000,1886.3770000000002,gorilla,11,118000000,same
2701,chimp,7,107000000,1849.27,human,7,121000000,same
2713,chimp,20,31000000,1811.5835,human,20,30000000,same
2736,chimp,13,63000000,251.4511,gorilla,X,73000000,same
2743,chimp,1,146000000,1794.3528,gorilla,1,167000000,same
2744,chimp,3,35000000,2049.7004,human,3,42000000,same
2752,chimp,4,52000000,1936.1765,human,4,75000000,same
2764,chimp,9,19000000,1772.2927,gorilla,9,13000000,same
2768,chimp,15,65000000,1499.0693,gorilla,15,77000000,same
2770,chimp,8,78000000,1903.3951,human,8,79000000,same
2775,chimp,X,51000000,2170.1292,human,X,48000000,same
2782,chimp,18,19000000,2017.5122,human,18,37000000,same
2783,chimp,X,66000000,365.55252,human,10,42000000,same
2786,chimp,15,52000000,1707.4679999999994,human,15,20000000,same
2804,chimp,4,65000000,1500.3629999999994,gorilla,4,73000000,same
2808,chimp,10,107000000,962.1782,gorilla,10,117000000,same
2820,chimp,1,192000000,1672.6788,human,1,184000000,same
2824,chimp,6,102000000,1582.799,human,6,97000000,same
2866,chimp,6,135000000,1564.069,human,6,127000000,same
2871,chimp,10,130000000,1682.828,human,10,120000000,same
2874,chimp,13,80000000,1684.9642,human,13,81000000,same
2882,chimp,10,18000000,1505.0996,human,10,18000000,same
2886,chimp,X,33000000,1870.2421,human,X,23000000,same
2887,chimp,5,51000000,1516.9863,gorilla,17,34000000,same
2903,chimp,14,66000000,1530.1837,human,14,60000000,same
2909,chimp,11,79000000,1744.7019,human,11,73000000,same
2926,chimp,1,18000000,300.83643,gorilla,1,19000000,same
2932,chimp,14,51000000,2044.5686,human,14,75000000,same
2934,chimp,3,189000000,1483.8029,human,3,132000000,same
2942,chimp,15,30000000,1871.7833,human,15,42000000,same
2946,chimp,9,113000000,2375.754,human,9,110000000,same
2948,chimp,5,66000000,1603.4432,human,5,45000000,same
2966,chimp,3,83000000,843.88965,human,3,78000000,same
2972,chimp,6,160000000,1803.4908,gorilla,6,167000000,same
2995,chimp,6,157000000,1653.144,gorilla,6,152000000,same
3005,chimp,12,83000000,1671.1008,gorilla,12,69000000,same
3017,chimp,6,54000000,1870.5935,human,6,43000000,same
3020,chimp,9,0,314.53525,gorilla,19,0,same
3023,chimp,21,19000000,525.60315,human,6,107000000,same
3027,chimp,1,138000000,1339.5148,gorilla,1,175000000,same
3030,chimp,17,63000000,1364.2595,gorilla,5,8000000,same
3033,chimp,X,174000000,1913.2461,gorilla,X,44000000,same
3036,chimp,7,35000000,706.2416,human,7,45000000,same
3039,chimp,8,7000000,1647.0502,human,8,2000000,same
3051,chimp,X,143000000,1443.6157,gorilla,X,142000000,same
3054,chimp,16,35000000,1888.1449,human,16,38000000,same
3060,chimp,7,179000000,1438.7893,gorilla,7,140000000,same
3063,chimp,6,63000000,1373.5059,human,6,59000000,same
3077,chimp,5,100000000,1539.286,human,5,122000000,same
3080,chimp,3,176000000,1824.3246,human,3,145000000,same
3098,chimp,5,99000000,1829.0826,human,5,123000000,same
3135,chimp,3,141000000,2063.217,human,3,180000000,same
3138,chimp,9,84000000,1587.9335,gorilla,9,86000000,same
3149,chimp,11,86000000,1642.8511,human,11,84000000,same
3151,chimp,5,137000000,2063.41,human,5,149000000,same
3163,chimp,X,116000000,1671.2883,human,X,105000000,same
3165,chimp,16,60000000,1561.4608,human,16,58000000,same
3170,chimp,3,29000000,1528.8666,human,3,48000000,same
3171,chimp,11,129000000,1520.4739,gorilla,11,91000000,same
3197,chimp,2A,102000000,1591.3645,human,2,92000000,same
3199,chimp,17,36000000,843.81445,gorilla,5,63000000,same
3235,chimp,3,114000000,1196.5142,human,3,102000000,same
3243,chimp,1,85000000,1689.3356,gorilla,1,88000000,same
3249,chimp,5,162000000,1634.9692,gorilla,5,136000000,same
3258,chimp,5,155000000,1713.4683,gorilla,5,143000000,same
3259,chimp,2A,94000000,1874.4012,human,2,100000000,same
3264,chimp,1,204000000,337.13723999999996,gorilla,1,208000000,same
3267,chimp,3,123000000,1796.6278,human,3,122000000,same
3275,chimp,8,87000000,1609.7621,gorilla,8,139000000,same
3294,chimp,3,132000000,1753.6270000000006,human,3,189000000,same
3301,chimp,5,144000000,1825.2736,gorilla,5,155000000,same
3313,chimp,10,94000000,1653.1085,gorilla,10,130000000,same
3315,chimp,8,96000000,1687.2518,human,8,126000000,same
3336,chimp,X,88000000,1636.0172,gorilla,X,110000000,same
3353,chimp,5,173000000,1432.8992,gorilla,5,125000000,same
3361,chimp,1,222000000,1410.098,human,1,214000000,same
3366,chimp,3,105000000,1523.1837,human,3,111000000,same
3369,chimp,1,94000000,1393.4423,gorilla,1,101000000,same
3374,chimp,6,10000000,1925.5522,human,6,16000000,same
3383,chimp,7,71000000,1282.1641,gorilla,7,71000000,same
3390,chimp,17,27000000,1609.8096,gorilla,5,54000000,same
3395,chimp,17,10000000,2132.353,gorilla,5,36000000,same
3400,chimp,X,107000000,1586.3670000000006,gorilla,X,91000000,same
3407,chimp,6,27000000,1582.9491,gorilla,6,0,same
3416,chimp,16,71000000,1540.4242,gorilla,16,75000000,same
3422,chimp,3,38000000,1598.9161,human,3,39000000,same
3437,chimp,13,0,1489.6681,human,18,14000000,same
3451,chimp,18,6000000,1439.535,human,18,8000000,same
3460,chimp,11,97000000,2015.4026,gorilla,11,123000000,same
3461,chimp,7,201000000,1488.3049,human,7,143000000,same
3462,chimp,5,126000000,1743.2799,human,5,97000000,same
3464,chimp,14,88000000,1267.1179,human,14,86000000,same
3465,chimp,3,150000000,1514.3069,human,3,171000000,same
3469,chimp,9,95000000,1858.9927,human,9,91000000,same
3478,chimp,3,167000000,1405.6942,human,3,154000000,same
3487,chimp,9,2000000,1526.3627,gorilla,9,30000000,same
3495,chimp,5,111000000,1827.5624,human,5,111000000,same
3518,chimp,22,4000000,2297.2883,gorilla,22,4000000,same
3521,chimp,17,45000000,1504.2327,human,17,48000000,same
3523,chimp,X,152000000,1543.5668,human,X,142000000,same
3532,chimp,7,168000000,1777.0603,human,7,86000000,same
3540,chimp,X,4000000,307.32065,human,Y,13000000,same
3545,chimp,16,24000000,1430.7489,human,16,24000000,same
3557,chimp,6,45000000,2135.959,human,6,52000000,same
3572,chimp,17,72000000,1895.8064,gorilla,5,17000000,same
3575,chimp,X,165000000,1548.0961,gorilla,X,143000000,same
3577,chimp,3,5000000,1700.4164,human,3,5000000,same
3582,chimp,6,146000000,1290.5082,human,6,116000000,same
3591,chimp,12,92000000,1770.9724,gorilla,12,125000000,same
3596,chimp,2B,3000000,1203.355,human,2,110000000,same
3633,chimp,7,197000000,1827.5315,human,7,69000000,same
3634,chimp,3,92000000,837.35046,human,3,95000000,same
3635,chimp,12,1000000,1324.3528,human,12,4000000,same
3643,chimp,4,108000000,1862.9825,human,4,82000000,same
3660,chimp,2B,111000000,1658.3135,human,2,213000000,same
3664,chimp,X,15000000,1844.8197,gorilla,X,44000000,same
3671,chimp,15,21000000,1892.86,gorilla,15,14000000,same
3677,chimp,15,16000000,1266.6393,gorilla,15,19000000,same
3683,chimp,X,22000000,1670.3187,human,X,34000000,same
3688,chimp,5,40000000,1730.5441,human,5,133000000,same
3690,chimp,2A,18000000,1089.4976,human,2,55000000,same
3694,chimp,11,68000000,2156.181,human,11,83000000,same
3711,chimp,14,77000000,1744.4982,human,14,50000000,same
3725,chimp,4,5000000,2093.902,human,4,8000000,same
3733,chimp,10,121000000,1716.5734,gorilla,10,102000000,same
3736,chimp,13,91000000,1764.2235,human,13,70000000,same
3745,chimp,6,124000000,1508.6241,human,6,137000000,same
3754,chimp,1,183000000,1920.7728,human,1,193000000,same
3755,chimp,6,113000000,1978.6539,human,6,148000000,same
3761,chimp,10,116000000,1202.0487,gorilla,10,108000000,same
3770,chimp,15,1000000,1692.3152,human,15,1000000,same
3783,chimp,15,43000000,1197.0559,human,15,29000000,same
3790,chimp,5,15000000,1704.8997,human,5,4000000,same
3793,chimp,X,77000000,417.95416,gorilla,2A,76000000,same
3801,chimp,4,74000000,1305.0372,human,4,53000000,same
3822,chimp,14,15000000,272.38235,gorilla,X,57000000,same
3842,chimp,X,40000000,1140.2301,human,X,16000000,same
3847,chimp,15,74000000,1339.2935,human,15,65000000,same
3856,chimp,12,13000000,1222.7703,human,12,18000000,same
3860,chimp,2B,63000000,306.9646600000001,human,X,58000000,same
3862,chimp,20,17000000,1778.2358,human,20,9000000,same
3873,chimp,1,157000000,1839.3867,gorilla,1,156000000,same
3874,chimp,3,24000000,1917.5239,human,3,53000000,same
3876,chimp,11,124000000,1291.2189,gorilla,11,96000000,same
3879,chimp,7,121000000,1164.5663,human,7,108000000,same
3881,chimp,13,72000000,1420.9170000000001,human,13,89000000,same
3885,chimp,7,116000000,1531.8047,human,7,112000000,same
