sp,chr,loc,score,msp,mchr,mloc,color
gorilla,16,14000000,1054,human,16,13450000,same orientation
gorilla,16,80800000,1912,human,16,74800000,inversed
gorilla,16,80800000,451,human,16,74750000,inversed
chimp,16,34450000,3529,human,16,39150000,inversed
chimp,16,34450000,1906,gorilla,16,43000000,inversed
chimp,16,34450000,1290,gorilla,16,43050000,inversed
chimp,16,38700000,3361,human,16,35900000,same orientation
chimp,16,64300000,2392,human,16,70450000,inversed
chimp,16,64300000,716,human,16,70400000,inversed
chimp,16,66400000,1453,gorilla,16,68750000,same orientation
chimp,16,66400000,789,gorilla,16,68700000,same orientation
chimp,16,6650000,2943,human,16,6300000,same orientation
chimp,16,6650000,2187,gorilla,16,6600000,same orientation
human,16,75500000,2444,gorilla,16,80050000,inversed
human,16,25250000,2799,chimp,16,23200000,inversed
chimp,16,51400000,2981,human,16,49550000,same orientation
chimp,16,51400000,2846,gorilla,16,53650000,same orientation
human,16,12500000,1530,chimp,16,12900000,same orientation
human,16,12500000,1495,gorilla,16,13000000,same orientation
human,16,12500000,877,chimp,16,12850000,same orientation
human,16,12500000,720,gorilla,16,12950000,same orientation
chimp,16,20800000,2818,human,16,19750000,same orientation
chimp,16,20800000,1604,gorilla,16,21850000,same orientation
chimp,16,20800000,1146,gorilla,16,21800000,same orientation
chimp,16,72200000,1776,human,16,63450000,same orientation
chimp,16,72200000,704,human,16,63400000,same orientation
human,16,3250000,2601,gorilla,16,3400000,same orientation
human,16,3250000,1904,chimp,16,3500000,same orientation
human,16,3250000,788,chimp,16,3450000,same orientation
gorilla,16,5650000,1688,human,16,5350000,same orientation
gorilla,16,5650000,1139,chimp,16,5650000,same orientation
gorilla,16,5650000,659,chimp,16,5700000,same orientation
human,16,23200000,1750,chimp,16,25250000,inversed
human,16,23200000,1060,chimp,16,25300000,inversed
human,16,63900000,1703,chimp,16,72650000,same orientation
chimp,16,77750000,1811,human,16,75350000,same orientation
chimp,16,29450000,2428,gorilla,16,31300000,same orientation
chimp,16,29450000,1955,human,16,28100000,same orientation
chimp,16,29450000,569,human,16,28150000,same orientation
human,16,6700000,2091,chimp,16,7050000,same orientation
human,16,6700000,1488,gorilla,16,7000000,same orientation
human,16,6700000,929,chimp,16,7000000,same orientation
gorilla,16,57950000,2398,chimp,16,55600000,same orientation
gorilla,16,57950000,2342,human,16,53600000,same orientation
human,16,34650000,2927,chimp,16,37400000,same orientation
human,16,16500000,3175,chimp,16,17450000,inversed
human,16,16500000,2839,gorilla,16,18100000,inversed
chimp,16,1300000,1592,gorilla,16,1150000,inversed
chimp,16,1300000,1031,gorilla,16,1200000,inversed
chimp,16,3300000,2739,human,16,3050000,same orientation
chimp,16,3300000,1894,gorilla,16,3200000,same orientation
chimp,16,3300000,308,gorilla,16,3250000,same orientation
chimp,16,54150000,2227,gorilla,16,56400000,same orientation
chimp,16,54150000,1384,human,16,52200000,same orientation
chimp,16,54150000,1226,human,16,52250000,same orientation
human,16,40200000,2931,chimp,16,33400000,inversed
chimp,16,58850000,2026,human,16,59800000,same orientation
chimp,16,58850000,1448,gorilla,16,63850000,same orientation
chimp,16,58850000,949,human,16,59850000,same orientation
human,16,49350000,2998,gorilla,16,53450000,same orientation
human,16,49350000,2326,chimp,16,51200000,same orientation
human,16,49350000,771,chimp,16,51150000,same orientation
human,16,39800000,3407,chimp,16,33800000,inversed
gorilla,16,26550000,1582,human,16,23850000,same orientation
gorilla,16,26550000,1193,human,16,23900000,same orientation
chimp,16,78950000,2504,human,16,23550000,inversed
chimp,16,78950000,2018,gorilla,16,26200000,inversed
gorilla,16,62550000,3125,chimp,16,60100000,inversed
gorilla,16,11550000,2384,human,16,11150000,same orientation
gorilla,16,11550000,2298,chimp,16,11550000,same orientation
chimp,16,63150000,1484,human,16,60950000,same orientation
chimp,16,63150000,744,gorilla,16,65500000,same orientation
chimp,16,63150000,700,gorilla,16,65550000,same orientation
gorilla,16,32350000,2887,human,16,29250000,same orientation
chimp,16,40750000,2775,human,16,32950000,same orientation
chimp,16,40750000,334,human,16,33000000,same orientation
gorilla,16,64500000,2622,chimp,16,58200000,inversed
gorilla,16,64500000,2506,human,16,59200000,inversed
gorilla,16,34250000,298,human,16,30500000,inversed
gorilla,16,34250000,269,chimp,16,31500000,inversed
gorilla,16,34250000,264,human,16,30200000,inversed
chimp,16,41350000,3282,human,16,33550000,same orientation
chimp,16,13950000,2788,human,16,13500000,same orientation
chimp,16,13950000,2114,gorilla,16,14100000,same orientation
chimp,16,13950000,451,gorilla,16,14050000,same orientation
human,16,58000000,2261,chimp,16,60150000,inversed
human,16,58000000,1206,chimp,16,60200000,inversed
chimp,16,62500000,275,human,16,60350000,inversed
gorilla,16,33750000,1280,chimp,16,30900000,same orientation
gorilla,16,78900000,1480,chimp,16,80200000,inversed
gorilla,16,78900000,1285,human,16,26700000,inversed
gorilla,16,78900000,569,human,16,74050000,inversed
human,16,50850000,3105,chimp,16,52750000,same orientation
human,16,50850000,2391,gorilla,16,55000000,same orientation
human,16,50850000,328,gorilla,16,54950000,same orientation
chimp,16,32250000,2508,human,16,41350000,inversed
chimp,16,32250000,2338,gorilla,16,45250000,inversed
chimp,16,34200000,2527,human,16,39400000,inversed
chimp,16,34200000,2521,gorilla,16,43300000,inversed
chimp,16,34200000,284,human,16,39450000,inversed
chimp,16,64550000,2874,human,16,70200000,inversed
chimp,16,64550000,312,human,16,70150000,inversed
chimp,16,62550000,2291,human,16,60350000,same orientation
chimp,16,62550000,1582,gorilla,16,64950000,same orientation
chimp,16,62550000,867,gorilla,16,64900000,same orientation
human,16,21450000,2990,chimp,16,27700000,same orientation
human,16,21450000,1106,chimp,16,78800000,same orientation
human,16,21450000,560,chimp,16,78850000,same orientation
gorilla,16,10150000,2733,chimp,16,10150000,same orientation
gorilla,16,10150000,1583,human,16,9800000,same orientation
gorilla,16,10150000,1143,human,16,9750000,same orientation
human,16,48750000,2438,gorilla,16,52850000,same orientation
human,16,48750000,1687,chimp,16,50550000,same orientation
human,16,48750000,1366,chimp,16,50600000,same orientation
human,16,48750000,478,gorilla,16,52800000,same orientation
gorilla,16,27150000,2423,human,16,24450000,same orientation
gorilla,16,27150000,458,human,16,24500000,same orientation
gorilla,16,79250000,2545,human,16,74350000,same orientation
human,16,75350000,2401,gorilla,16,80200000,inversed
chimp,16,2700000,1474,gorilla,16,2600000,same orientation
chimp,16,2700000,1137,gorilla,16,2650000,same orientation
human,16,25400000,1732,chimp,16,23050000,inversed
human,16,25400000,1434,chimp,16,23000000,inversed
chimp,16,55550000,1970,gorilla,16,57900000,same orientation
chimp,16,55550000,1863,human,16,53550000,same orientation
chimp,16,55550000,471,human,16,53600000,same orientation
human,16,23450000,1991,chimp,16,25000000,inversed
human,16,23450000,970,chimp,16,25050000,inversed
human,16,35250000,2399,chimp,16,38000000,same orientation
human,16,35250000,593,chimp,16,38050000,same orientation
chimp,16,28050000,1419,human,16,26500000,same orientation
chimp,16,28050000,1261,human,16,26550000,same orientation
chimp,16,76350000,2415,human,16,73800000,same orientation
chimp,16,76350000,2180,gorilla,16,78700000,same orientation
human,16,7300000,2218,chimp,16,7650000,same orientation
human,16,7300000,1512,gorilla,16,7600000,same orientation
human,16,7300000,820,gorilla,16,7650000,same orientation
human,16,7300000,352,chimp,16,7600000,same orientation
human,16,46400000,410,gorilla,16,19350000,inversed
human,16,46400000,353,chimp,16,31850000,inversed
human,16,46400000,317,chimp,16,20600000,inversed
human,16,46400000,316,gorilla,16,38400000,inversed
human,16,46400000,291,chimp,16,40700000,inversed
gorilla,16,53800000,2368,human,16,49700000,same orientation
gorilla,16,53800000,1782,chimp,16,51550000,same orientation
gorilla,16,53800000,1082,chimp,16,51500000,same orientation
gorilla,16,53800000,585,human,16,49650000,same orientation
gorilla,16,4250000,2001,human,16,4050000,same orientation
gorilla,16,4250000,1864,chimp,16,4300000,same orientation
chimp,16,1550000,2247,gorilla,16,2050000,inversed
human,16,16350000,3190,chimp,16,17600000,inversed
human,16,16350000,2604,gorilla,16,18250000,inversed
chimp,16,73600000,2834,human,16,64800000,same orientation
human,16,2650000,1379,chimp,16,2850000,same orientation
human,16,2650000,1256,gorilla,16,2700000,same orientation
human,16,2650000,1048,chimp,16,2800000,same orientation
human,16,2650000,510,gorilla,16,2800000,same orientation
human,16,69900000,2927,chimp,16,64850000,inversed
human,16,69900000,1459,gorilla,16,67200000,inversed
human,16,69900000,1421,gorilla,16,67250000,inversed
human,16,13100000,2642,gorilla,16,13600000,same orientation
human,16,13100000,2229,chimp,16,13500000,same orientation
human,16,13100000,549,chimp,16,13550000,same orientation
chimp,16,7250000,2093,human,16,6900000,same orientation
chimp,16,7250000,1671,gorilla,16,7200000,same orientation
chimp,16,7250000,407,gorilla,16,7250000,same orientation
human,16,40450000,3058,chimp,16,33150000,inversed
chimp,16,50000000,2778,gorilla,16,52250000,same orientation
chimp,16,50000000,2634,human,16,48150000,same orientation
chimp,16,50000000,477,human,16,48200000,same orientation
chimp,16,67000000,1840,gorilla,16,69350000,same orientation
chimp,16,67000000,705,gorilla,16,69400000,same orientation
chimp,16,39300000,2299,human,16,36500000,same orientation
gorilla,16,32450000,3252,chimp,16,30500000,inversed
human,16,24100000,965,gorilla,16,26750000,same orientation
human,16,24100000,263,gorilla,16,26800000,same orientation
chimp,16,28850000,2396,gorilla,16,30600000,inversed
human,16,28800000,2307,gorilla,16,32000000,same orientation
human,16,28800000,1650,chimp,16,30100000,same orientation
human,16,28800000,928,chimp,16,30150000,same orientation
gorilla,16,62300000,2562,chimp,16,60350000,inversed
gorilla,16,62300000,392,chimp,16,60400000,inversed
chimp,16,44600000,2203,gorilla,16,46800000,same orientation
chimp,16,44600000,1801,human,16,42800000,same orientation
chimp,16,44600000,690,human,16,42850000,same orientation
gorilla,16,64350000,2921,chimp,16,58350000,inversed
gorilla,16,64350000,2370,human,16,59350000,inversed
gorilla,16,64350000,556,human,16,59300000,inversed
gorilla,16,34400000,1621,chimp,16,31850000,inversed
gorilla,16,34400000,1503,human,16,30400000,inversed
gorilla,16,34400000,805,human,16,30850000,inversed
gorilla,16,34400000,677,chimp,16,31750000,inversed
gorilla,16,34400000,520,human,16,30800000,inversed
gorilla,16,34400000,490,human,16,30350000,inversed
gorilla,16,34400000,430,chimp,16,42650000,inversed
chimp,16,80850000,445,human,16,2750000,inversed
chimp,16,80850000,365,gorilla,16,2900000,inversed
gorilla,16,68100000,2151,chimp,16,65700000,same orientation
gorilla,16,68100000,383,chimp,16,65750000,same orientation
gorilla,16,64800000,2632,chimp,16,62400000,same orientation
gorilla,16,64800000,2038,human,16,60250000,same orientation
gorilla,16,64800000,591,human,16,60200000,same orientation
human,16,59400000,2599,chimp,16,58400000,same orientation
human,16,59400000,517,chimp,16,58450000,same orientation
human,16,43450000,2738,gorilla,16,47450000,same orientation
human,16,43450000,1697,chimp,16,45200000,same orientation
human,16,43450000,974,chimp,16,45250000,same orientation
gorilla,16,72150000,2502,chimp,16,69800000,same orientation
chimp,16,42650000,2818,human,16,30850000,inversed
chimp,16,42650000,927,gorilla,16,34600000,inversed
chimp,16,42650000,892,gorilla,16,35850000,inversed
chimp,16,42650000,801,gorilla,16,34650000,inversed
chimp,16,42650000,738,human,16,30350000,inversed
chimp,16,42650000,691,human,16,30400000,inversed
chimp,16,42650000,586,gorilla,16,34700000,inversed
gorilla,16,71700000,2028,human,16,65500000,inversed
chimp,16,9400000,1849,human,16,9000000,same orientation
chimp,16,9400000,1807,gorilla,16,9400000,same orientation
chimp,16,9400000,378,human,16,9050000,same orientation
gorilla,16,21050000,1524,human,16,19050000,inversed
gorilla,16,21050000,1493,chimp,16,20100000,inversed
gorilla,16,21050000,603,chimp,16,20050000,inversed
gorilla,16,21050000,450,human,16,19100000,inversed
gorilla,16,27000000,2991,chimp,16,24150000,inversed
gorilla,16,51750000,2157,human,16,47700000,same orientation
gorilla,16,51750000,2008,chimp,16,49500000,same orientation
gorilla,16,51750000,683,human,16,47650000,same orientation
gorilla,16,51750000,617,chimp,16,49550000,same orientation
human,16,60250000,2709,chimp,16,62400000,same orientation
human,16,60250000,2607,gorilla,16,64800000,same orientation
human,16,32850000,3173,chimp,16,40600000,same orientation
chimp,16,71950000,1593,human,16,63200000,same orientation
chimp,16,71950000,800,human,16,63150000,same orientation
chimp,16,46950000,2850,gorilla,16,49200000,same orientation
chimp,16,46950000,2705,human,16,45150000,same orientation
chimp,16,46950000,357,human,16,45100000,same orientation
chimp,16,14350000,2823,gorilla,16,14500000,same orientation
chimp,16,14350000,2673,human,16,13900000,same orientation
chimp,16,14350000,352,human,16,13950000,same orientation
gorilla,16,66750000,2171,chimp,16,64350000,same orientation
gorilla,16,66750000,617,chimp,16,64400000,same orientation
gorilla,16,75900000,2590,chimp,16,70100000,inversed
gorilla,16,75900000,2465,human,16,61400000,inversed
human,16,57250000,2617,gorilla,16,61650000,same orientation
chimp,16,39200000,3157,gorilla,16,38200000,inversed
chimp,16,69650000,2455,gorilla,16,72000000,same orientation
chimp,16,69550000,2831,human,16,65300000,inversed
gorilla,16,73950000,2529,human,16,63300000,inversed
gorilla,16,73950000,2507,chimp,16,72050000,inversed
chimp,16,37550000,2651,human,16,34750000,same orientation
human,16,74450000,1907,gorilla,16,79350000,same orientation
chimp,16,40800000,2924,gorilla,16,36700000,inversed
chimp,16,40800000,344,gorilla,16,36600000,inversed
gorilla,16,45150000,2883,human,16,41250000,same orientation
gorilla,16,49850000,2629,chimp,16,47600000,same orientation
gorilla,16,49850000,2232,human,16,45800000,same orientation
gorilla,16,49850000,995,human,16,45750000,same orientation
gorilla,16,49850000,396,chimp,16,47550000,same orientation
gorilla,16,16900000,2481,chimp,16,16250000,inversed
human,16,36000000,2076,gorilla,16,38600000,inversed
human,16,36000000,642,gorilla,16,38650000,inversed
chimp,16,25850000,2633,human,16,22650000,inversed
chimp,16,25850000,2327,gorilla,16,25250000,inversed
human,16,66750000,1671,chimp,16,68050000,inversed
human,16,66750000,1348,gorilla,16,70450000,inversed
human,16,66750000,1191,gorilla,16,70400000,inversed
human,16,66750000,842,chimp,16,68000000,inversed
chimp,16,11600000,2405,human,16,11200000,same orientation
chimp,16,11600000,1537,gorilla,16,11550000,same orientation
chimp,16,11600000,690,gorilla,16,11600000,same orientation
gorilla,16,69350000,2065,human,16,67800000,inversed
gorilla,16,69350000,480,human,16,67850000,inversed
gorilla,16,39400000,2955,human,16,35250000,inversed
gorilla,16,39400000,2271,chimp,16,38050000,inversed
gorilla,16,39400000,617,chimp,16,38000000,inversed
chimp,16,23800000,2607,human,16,24650000,inversed
chimp,16,23800000,2285,gorilla,16,27350000,inversed
human,16,30050000,1651,chimp,16,31300000,inversed
human,16,30050000,593,gorilla,16,33900000,inversed
human,16,30050000,444,gorilla,16,32900000,inversed
gorilla,16,31800000,2284,human,16,28600000,same orientation
gorilla,16,31800000,1319,chimp,16,29950000,same orientation
gorilla,16,31800000,873,chimp,16,29900000,same orientation
gorilla,16,63200000,1967,human,16,58700000,same orientation
gorilla,16,63200000,480,human,16,58650000,same orientation
human,16,52700000,2866,chimp,16,54600000,same orientation
human,16,52700000,2502,gorilla,16,56900000,same orientation
gorilla,16,54200000,2555,chimp,16,51950000,same orientation
gorilla,16,54200000,2385,human,16,50100000,same orientation
gorilla,16,54200000,598,human,16,50050000,same orientation
gorilla,16,54200000,530,chimp,16,51900000,same orientation
gorilla,16,3850000,2336,chimp,16,3900000,same orientation
gorilla,16,3850000,2329,human,16,3650000,same orientation
gorilla,16,12700000,957,human,16,12200000,inversed
gorilla,16,12700000,909,chimp,16,12600000,inversed
chimp,16,21650000,2574,human,16,20500000,inversed
chimp,16,21650000,423,human,16,20450000,inversed
chimp,16,78500000,1579,gorilla,16,80750000,same orientation
chimp,16,78500000,523,gorilla,16,80700000,same orientation
human,16,9550000,2378,chimp,16,9900000,same orientation
human,16,9550000,1634,gorilla,16,9900000,same orientation
human,16,9550000,947,gorilla,16,9950000,same orientation
human,16,9550000,415,chimp,16,9950000,same orientation
human,16,62950000,1700,gorilla,16,74300000,inversed
human,16,62950000,715,gorilla,16,74350000,inversed
chimp,16,71100000,2220,gorilla,16,74900000,inversed
human,16,18200000,2664,chimp,16,19200000,same orientation
human,16,18200000,1853,gorilla,16,20250000,same orientation
human,16,18200000,479,gorilla,16,20200000,same orientation
human,16,64900000,2570,gorilla,16,72300000,inversed
human,16,46100000,1890,chimp,16,47900000,same orientation
human,16,46100000,1652,gorilla,16,50150000,same orientation
human,16,46100000,758,chimp,16,47950000,same orientation
human,16,46100000,531,gorilla,16,50200000,same orientation
chimp,16,27600000,2820,gorilla,16,23450000,inversed
gorilla,16,14750000,1339,chimp,16,14600000,inversed
gorilla,16,14750000,1330,human,16,14150000,inversed
gorilla,16,44000000,1546,chimp,16,33550000,inversed
gorilla,16,44000000,1387,chimp,16,33500000,inversed
gorilla,16,12050000,2608,human,16,11650000,same orientation
gorilla,16,12050000,1471,chimp,16,12050000,same orientation
gorilla,16,12050000,1321,chimp,16,12100000,same orientation
human,16,29800000,2227,gorilla,16,33150000,inversed
human,16,29800000,1515,gorilla,16,33200000,inversed
human,16,29800000,1111,gorilla,16,33100000,inversed
human,16,29800000,952,gorilla,16,33050000,inversed
human,16,29800000,601,chimp,16,42350000,inversed
human,16,23550000,2078,gorilla,16,26200000,same orientation
human,16,23550000,277,gorilla,16,26150000,same orientation
human,16,56250000,1737,gorilla,16,60800000,inversed
human,16,56250000,521,chimp,16,9200000,inversed
human,16,56250000,494,chimp,16,53000000,inversed
human,16,56250000,437,chimp,16,74950000,inversed
human,16,56250000,396,chimp,16,50700000,inversed
human,16,56250000,377,chimp,16,13750000,inversed
human,16,52950000,2376,chimp,16,54900000,same orientation
human,16,52950000,1806,gorilla,16,57250000,same orientation
human,16,52950000,352,chimp,16,54950000,same orientation
gorilla,16,31650000,2498,human,16,28450000,same orientation
gorilla,16,31650000,1451,chimp,16,29750000,same orientation
gorilla,16,31650000,853,chimp,16,29800000,same orientation
chimp,16,11850000,2169,human,16,11450000,same orientation
chimp,16,11850000,1044,gorilla,16,11850000,same orientation
chimp,16,11850000,877,gorilla,16,11800000,same orientation
chimp,16,43250000,1166,human,16,30250000,same orientation
chimp,16,43250000,833,human,16,30300000,same orientation
chimp,16,43250000,669,human,16,30550000,same orientation
chimp,16,43250000,480,human,16,30750000,same orientation
chimp,16,43250000,466,human,16,30800000,same orientation
gorilla,16,74500000,2089,human,16,62700000,inversed
gorilla,16,74500000,1289,chimp,16,71450000,inversed
gorilla,16,74500000,756,chimp,16,71500000,inversed
human,16,5200000,2409,gorilla,16,5450000,same orientation
human,16,5200000,2130,chimp,16,5500000,same orientation
gorilla,16,24250000,1431,chimp,16,26800000,inversed
gorilla,16,24250000,1122,chimp,16,26850000,inversed
chimp,16,74250000,2013,human,16,71750000,same orientation
chimp,16,74250000,1835,gorilla,16,76550000,same orientation
chimp,16,74250000,560,gorilla,16,76600000,same orientation
chimp,16,74250000,417,human,16,71800000,same orientation
human,16,37350000,2662,gorilla,16,41150000,same orientation
chimp,16,17300000,2961,human,16,16650000,inversed
gorilla,16,3600000,2315,chimp,16,3650000,same orientation
gorilla,16,3600000,2167,human,16,3400000,same orientation
gorilla,16,58550000,2175,chimp,16,56200000,same orientation
gorilla,16,58550000,2136,human,16,54200000,same orientation
gorilla,16,58550000,267,human,16,54300000,same orientation
chimp,16,47450000,599,gorilla,16,78000000,inversed
chimp,16,57450000,2244,human,16,55400000,same orientation
chimp,16,57450000,1599,gorilla,16,59700000,same orientation
